Instance,N,K,Name,Transitions,States,Time(ms),Failed,Method
AT,2,2,./results/models/AT/2-2/AT-2-2-1900-partial.pth,53,33,119,False,2-2
AT,2,3,./results/models/AT/2-2/AT-2-2-1900-partial.pth,85,48,172,False,2-2
AT,2,4,./results/models/AT/2-2/AT-2-2-1900-partial.pth,125,65,319,False,2-2
AT,2,5,./results/models/AT/2-2/AT-2-2-1900-partial.pth,173,84,434,False,2-2
AT,2,6,./results/models/AT/2-2/AT-2-2-1900-partial.pth,229,105,784,False,2-2
AT,2,7,./results/models/AT/2-2/AT-2-2-1900-partial.pth,293,128,1028,False,2-2
AT,2,8,./results/models/AT/2-2/AT-2-2-1900-partial.pth,365,153,1459,False,2-2
AT,2,9,./results/models/AT/2-2/AT-2-2-1900-partial.pth,445,180,1831,False,2-2
AT,2,10,./results/models/AT/2-2/AT-2-2-1900-partial.pth,533,209,2719,False,2-2
AT,2,11,./results/models/AT/2-2/AT-2-2-1900-partial.pth,629,240,3553,False,2-2
AT,2,12,./results/models/AT/2-2/AT-2-2-1900-partial.pth,733,273,4302,False,2-2
AT,2,13,./results/models/AT/2-2/AT-2-2-1900-partial.pth,845,308,5320,False,2-2
AT,2,14,./results/models/AT/2-2/AT-2-2-1900-partial.pth,965,345,6696,False,2-2
AT,2,15,./results/models/AT/2-2/AT-2-2-1900-partial.pth,1093,384,7709,False,2-2
AT,3,2,./results/models/AT/2-2/AT-2-2-1900-partial.pth,65,55,302,False,2-2
AT,3,3,./results/models/AT/2-2/AT-2-2-1900-partial.pth,491,282,2873,False,2-2
AT,3,4,./results/models/AT/2-2/AT-2-2-1900-partial.pth,895,468,7018,False,2-2
AT,3,5,./results/models/AT/2-2/AT-2-2-1900-partial.pth,1485,714,14356,False,2-2
AT,3,6,./results/models/AT/2-2/AT-2-2-1900-partial.pth,2297,1026,28173,False,2-2
AT,3,7,./results/models/AT/2-2/AT-2-2-1900-partial.pth,3367,1410,58752,False,2-2
AT,3,8,./results/models/AT/2-2/AT-2-2-1900-partial.pth,4731,1872,94110,False,2-2
AT,3,9,./results/models/AT/2-2/AT-2-2-1900-partial.pth,6425,2418,160826,False,2-2
AT,3,10,./results/models/AT/2-2/AT-2-2-1900-partial.pth,8485,3054,284898,False,2-2
AT,3,11,./results/models/AT/2-2/AT-2-2-1900-partial.pth,10947,3786,413005,False,2-2
AT,3,12,./results/models/AT/2-2/AT-2-2-1900-partial.pth,13847,4620,653725,False,2-2
AT,3,13,./results/models/AT/2-2/AT-2-2-1900-partial.pth,15001,5257,788211,True,2-2
AT,3,14,./results/models/AT/2-2/AT-2-2-1900-partial.pth,15001,15001,9999,True,2-2
AT,3,15,./results/models/AT/2-2/AT-2-2-1900-partial.pth,15001,15001,9999,True,2-2
AT,4,2,./results/models/AT/2-2/AT-2-2-1900-partial.pth,82,83,1214,False,2-2
AT,4,3,./results/models/AT/2-2/AT-2-2-1900-partial.pth,478,408,15684,False,2-2
AT,4,4,./results/models/AT/2-2/AT-2-2-1900-partial.pth,5312,2961,232335,False,2-2
AT,4,5,./results/models/AT/2-2/AT-2-2-1900-partial.pth,10589,5420,757348,False,2-2
AT,4,6,./results/models/AT/2-2/AT-2-2-1900-partial.pth,15001,7867,1583754,True,2-2
AT,4,7,./results/models/AT/2-2/AT-2-2-1900-partial.pth,15001,15001,9999,True,2-2
AT,4,8,./results/models/AT/2-2/AT-2-2-1900-partial.pth,15001,15001,9999,True,2-2
AT,4,9,./results/models/AT/2-2/AT-2-2-1900-partial.pth,15001,15001,9999,True,2-2
AT,4,10,./results/models/AT/2-2/AT-2-2-1900-partial.pth,15001,15001,9999,True,2-2
AT,4,11,./results/models/AT/2-2/AT-2-2-1900-partial.pth,15001,15001,9999,True,2-2
AT,4,12,./results/models/AT/2-2/AT-2-2-1900-partial.pth,15001,15001,9999,True,2-2
AT,4,13,./results/models/AT/2-2/AT-2-2-1900-partial.pth,15001,15001,9999,True,2-2
AT,4,14,./results/models/AT/2-2/AT-2-2-1900-partial.pth,15001,15001,9999,True,2-2
AT,4,15,./results/models/AT/2-2/AT-2-2-1900-partial.pth,15001,15001,9999,True,2-2
AT,5,2,./results/models/AT/2-2/AT-2-2-1900-partial.pth,114,115,3117,False,2-2
AT,5,3,./results/models/AT/2-2/AT-2-2-1900-partial.pth,469,470,34344,False,2-2
AT,5,4,./results/models/AT/2-2/AT-2-2-1900-partial.pth,4613,3753,704002,False,2-2
AT,5,5,./results/models/AT/2-2/AT-2-2-1900-partial.pth,15001,11117,4433450,True,2-2
AT,5,6,./results/models/AT/2-2/AT-2-2-1900-partial.pth,15001,15001,9999,True,2-2
AT,5,7,./results/models/AT/2-2/AT-2-2-1900-partial.pth,15001,15001,9999,True,2-2
AT,5,8,./results/models/AT/2-2/AT-2-2-1900-partial.pth,15001,15001,9999,True,2-2
AT,5,9,./results/models/AT/2-2/AT-2-2-1900-partial.pth,15001,15001,9999,True,2-2
AT,5,10,./results/models/AT/2-2/AT-2-2-1900-partial.pth,15001,15001,9999,True,2-2
AT,5,11,./results/models/AT/2-2/AT-2-2-1900-partial.pth,15001,15001,9999,True,2-2
