Instance,N,K,Transitions,States,Time(ms),Failed,Features Vectors
CM,2,2,2344,1427,120354,False,"{32505985, 32506114, 15728769, 29364740, 29364484, 12587268, 12587524, 32505864, 8917252, 59248900, 62390401, 25694468, 28835969, 12058753, 36962433, 32514320, 53739649, 33820932, 50860548, 17306116, 34083332, 528900, 32506882, 62390337, 15728705, 12058689, 32505921, 28835905, 53739585, 32505928}"
CM,2,3,5001,2965,636541,True,"{32505985, 32506114, 15728769, 29364740, 29364484, 12587268, 12587524, 32505864, 8917252, 59248900, 62390401, 28835969, 25694468, 12058753, 36962433, 32514320, 53739649, 33820932, 528900, 50860548, 17306116, 34083332, 32506882, 62390337, 15728705, 12058689, 32505921, 28835905, 53739585, 32505928}"
CM,2,4,5001,5001,9999,True,set()
CM,2,5,5001,5001,9999,True,set()
CM,2,6,5001,5001,9999,True,set()
CM,2,7,5001,5001,9999,True,set()
CM,2,8,5001,5001,9999,True,set()
CM,2,9,5001,5001,9999,True,set()
CM,2,10,5001,5001,9999,True,set()
CM,2,11,5001,5001,9999,True,set()
CM,2,12,5001,5001,9999,True,set()
CM,2,13,5001,5001,9999,True,set()
CM,2,14,5001,5001,9999,True,set()
CM,2,15,5001,5001,9999,True,set()
CM,3,2,5001,3046,1581584,True,"{32505985, 32506114, 15728769, 29364740, 29364484, 12587268, 50860292, 32505864, 12587524, 34083076, 8917252, 59248900, 25694468, 28835969, 62390401, 32514320, 33820932, 17305860, 266500, 528644, 17306116, 34083332, 50860548, 32506882, 32505921, 15728705, 62390337, 12058689, 28835905, 32505928}"
CM,3,3,5001,5001,9999,True,set()
CM,3,4,5001,5001,9999,True,set()
CM,3,5,5001,5001,9999,True,set()
CM,3,6,5001,5001,9999,True,set()
CM,3,7,5001,5001,9999,True,set()
CM,3,8,5001,5001,9999,True,set()
CM,3,9,5001,5001,9999,True,set()
CM,3,10,5001,5001,9999,True,set()
CM,3,11,5001,5001,9999,True,set()
CM,3,12,5001,5001,9999,True,set()
CM,3,13,5001,5001,9999,True,set()
CM,3,14,5001,5001,9999,True,set()
CM,3,15,5001,5001,9999,True,set()
CM,4,2,5001,2685,2250681,True,"{32505985, 32506114, 15728769, 29364740, 29364484, 50860292, 12587268, 32505864, 34083076, 17305860, 12587524, 8917252, 59248900, 33820932, 25694468, 266500, 528644, 32505921, 15728705, 62390337, 32505928}"
CM,4,3,5001,5001,9999,True,set()
CM,4,4,5001,5001,9999,True,set()
CM,4,5,5001,5001,9999,True,set()
CM,4,6,5001,5001,9999,True,set()
CM,4,7,5001,5001,9999,True,set()
CM,4,8,5001,5001,9999,True,set()
CM,4,9,5001,5001,9999,True,set()
CM,4,10,5001,5001,9999,True,set()
CM,4,11,5001,5001,9999,True,set()
CM,4,12,5001,5001,9999,True,set()
CM,4,13,5001,5001,9999,True,set()
CM,4,14,5001,5001,9999,True,set()
CM,4,15,5001,5001,9999,True,set()
CM,5,2,5001,2183,1893068,True,"{32505985, 32506114, 15728769, 29364740, 29364484, 50860292, 12587268, 32505864, 34083076, 528644, 17305860, 12587524, 8917252, 266500, 33820932, 59248900, 25694468, 32505921, 15728705, 62390337, 32505928}"
CM,5,3,5001,5001,9999,True,set()
CM,5,4,5001,5001,9999,True,set()
CM,5,5,5001,5001,9999,True,set()
CM,5,6,5001,5001,9999,True,set()
CM,5,7,5001,5001,9999,True,set()
CM,5,8,5001,5001,9999,True,set()
CM,5,9,5001,5001,9999,True,set()
CM,5,10,5001,5001,9999,True,set()
CM,5,11,5001,5001,9999,True,set()
CM,5,12,5001,5001,9999,True,set()
CM,5,13,5001,5001,9999,True,set()
CM,5,14,5001,5001,9999,True,set()
CM,5,15,5001,5001,9999,True,set()
CM,6,2,5001,2766,2148383,True,"{32505985, 32506114, 15728769, 29364740, 29364484, 50860292, 12587268, 32505864, 17305860, 34083076, 528644, 12587524, 8917252, 32505921, 15728705, 32505928, 59248900}"
CM,6,3,5001,5001,9999,True,set()
CM,6,4,5001,5001,9999,True,set()
CM,6,5,5001,5001,9999,True,set()
CM,6,6,5001,5001,9999,True,set()
CM,6,7,5001,5001,9999,True,set()
CM,6,8,5001,5001,9999,True,set()
CM,6,9,5001,5001,9999,True,set()
CM,6,10,5001,5001,9999,True,set()
CM,6,11,5001,5001,9999,True,set()
CM,6,12,5001,5001,9999,True,set()
CM,6,13,5001,5001,9999,True,set()
CM,6,14,5001,5001,9999,True,set()
CM,6,15,5001,5001,9999,True,set()
CM,7,2,5001,1414,555500,True,"{29364740, 29364484, 50860292, 12587268, 32505864, 34083076, 17305860, 528644}"
CM,7,3,5001,5001,9999,True,set()
CM,7,4,5001,5001,9999,True,set()
CM,7,5,5001,5001,9999,True,set()
CM,7,6,5001,5001,9999,True,set()
CM,7,7,5001,5001,9999,True,set()
CM,7,8,5001,5001,9999,True,set()
CM,7,9,5001,5001,9999,True,set()
CM,7,10,5001,5001,9999,True,set()
CM,7,11,5001,5001,9999,True,set()
CM,7,12,5001,5001,9999,True,set()
CM,7,13,5001,5001,9999,True,set()
CM,7,14,5001,5001,9999,True,set()
CM,7,15,5001,5001,9999,True,set()
CM,8,2,5001,1536,1056330,True,"{29364740, 29364484, 50860292, 12587268, 32505864, 34083076, 17305860, 528644}"
CM,8,3,5001,5001,9999,True,set()
CM,8,4,5001,5001,9999,True,set()
CM,8,5,5001,5001,9999,True,set()
CM,8,6,5001,5001,9999,True,set()
CM,8,7,5001,5001,9999,True,set()
CM,8,8,5001,5001,9999,True,set()
CM,8,9,5001,5001,9999,True,set()
CM,8,10,5001,5001,9999,True,set()
CM,8,11,5001,5001,9999,True,set()
CM,8,12,5001,5001,9999,True,set()
CM,8,13,5001,5001,9999,True,set()
CM,8,14,5001,5001,9999,True,set()
CM,8,15,5001,5001,9999,True,set()
CM,9,2,5001,1785,1689005,True,"{29364740, 29364484, 50860292, 12587268, 32505864, 528644, 34083076, 17305860}"
CM,9,3,5001,5001,9999,True,set()
CM,9,4,5001,5001,9999,True,set()
CM,9,5,5001,5001,9999,True,set()
CM,9,6,5001,5001,9999,True,set()
CM,9,7,5001,5001,9999,True,set()
CM,9,8,5001,5001,9999,True,set()
CM,9,9,5001,5001,9999,True,set()
CM,9,10,5001,5001,9999,True,set()
CM,9,11,5001,5001,9999,True,set()
CM,9,12,5001,5001,9999,True,set()
CM,9,13,5001,5001,9999,True,set()
CM,9,14,5001,5001,9999,True,set()
CM,9,15,5001,5001,9999,True,set()
CM,10,2,5001,2132,2658084,True,"{29364740, 29364484, 50860292, 12587268, 32505864, 34083076, 17305860, 528644}"
CM,10,3,5001,5001,9999,True,set()
CM,10,4,5001,5001,9999,True,set()
CM,10,5,5001,5001,9999,True,set()
CM,10,6,5001,5001,9999,True,set()
CM,10,7,5001,5001,9999,True,set()
CM,10,8,5001,5001,9999,True,set()
CM,10,9,5001,5001,9999,True,set()
CM,10,10,5001,5001,9999,True,set()
CM,10,11,5001,5001,9999,True,set()
CM,10,12,5001,5001,9999,True,set()
CM,10,13,5001,5001,9999,True,set()
CM,10,14,5001,5001,9999,True,set()
CM,10,15,5001,5001,9999,True,set()
CM,11,2,5001,2369,3602005,True,"{29364740, 29364484, 50860292, 12587268, 32505864, 34083076, 17305860, 528644}"
CM,11,3,5001,5001,9999,True,set()
CM,11,4,5001,5001,9999,True,set()
CM,11,5,5001,5001,9999,True,set()
CM,11,6,5001,5001,9999,True,set()
CM,11,7,5001,5001,9999,True,set()
CM,11,8,5001,5001,9999,True,set()
CM,11,9,5001,5001,9999,True,set()
CM,11,10,5001,5001,9999,True,set()
CM,11,11,5001,5001,9999,True,set()
CM,11,12,5001,5001,9999,True,set()
CM,11,13,5001,5001,9999,True,set()
CM,11,14,5001,5001,9999,True,set()
CM,11,15,5001,5001,9999,True,set()
CM,12,2,5001,2615,4682528,True,"{29364740, 29364484, 50860292, 12587268, 32505864, 528644, 34083076, 17305860}"
CM,12,3,5001,5001,9999,True,set()
CM,12,4,5001,5001,9999,True,set()
CM,12,5,5001,5001,9999,True,set()
CM,12,6,5001,5001,9999,True,set()
CM,12,7,5001,5001,9999,True,set()
CM,12,8,5001,5001,9999,True,set()
CM,12,9,5001,5001,9999,True,set()
CM,12,10,5001,5001,9999,True,set()
CM,12,11,5001,5001,9999,True,set()
CM,12,12,5001,5001,9999,True,set()
CM,12,13,5001,5001,9999,True,set()
CM,12,14,5001,5001,9999,True,set()
CM,12,15,5001,5001,9999,True,set()
CM,13,2,5001,2725,5662385,True,"{29364740, 29364484, 50860292, 12587268, 32505864, 528644, 34083076, 17305860}"
CM,13,3,5001,5001,9999,True,set()
CM,13,4,5001,5001,9999,True,set()
CM,13,5,5001,5001,9999,True,set()
CM,13,6,5001,5001,9999,True,set()
CM,13,7,5001,5001,9999,True,set()
CM,13,8,5001,5001,9999,True,set()
CM,13,9,5001,5001,9999,True,set()
CM,13,10,5001,5001,9999,True,set()
CM,13,11,5001,5001,9999,True,set()
CM,13,12,5001,5001,9999,True,set()
CM,13,13,5001,5001,9999,True,set()
CM,13,14,5001,5001,9999,True,set()
CM,13,15,5001,5001,9999,True,set()
CM,14,2,5001,2849,7560368,True,"{29364740, 29364484, 50860292, 12587268, 32505864, 34083076, 17305860, 528644}"
CM,14,3,5001,5001,9999,True,set()
CM,14,4,5001,5001,9999,True,set()
CM,14,5,5001,5001,9999,True,set()
CM,14,6,5001,5001,9999,True,set()
CM,14,7,5001,5001,9999,True,set()
CM,14,8,5001,5001,9999,True,set()
CM,14,9,5001,5001,9999,True,set()
CM,14,10,5001,5001,9999,True,set()
CM,14,11,5001,5001,9999,True,set()
CM,14,12,5001,5001,9999,True,set()
CM,14,13,5001,5001,9999,True,set()
CM,14,14,5001,5001,9999,True,set()
CM,14,15,5001,5001,9999,True,set()
CM,15,2,5001,5001,9999,True,set()
CM,15,3,5001,5001,9999,True,set()
CM,15,4,5001,5001,9999,True,set()
CM,15,5,5001,5001,9999,True,set()
CM,15,6,5001,5001,9999,True,set()
CM,15,7,5001,5001,9999,True,set()
CM,15,8,5001,5001,9999,True,set()
CM,15,9,5001,5001,9999,True,set()
CM,15,10,5001,5001,9999,True,set()
CM,15,11,5001,5001,9999,True,set()
CM,15,12,5001,5001,9999,True,set()
CM,15,13,5001,5001,9999,True,set()
CM,15,14,5001,5001,9999,True,set()
CM,15,15,5001,5001,9999,True,set()
CM,2,2,RA,413,-1,531,False
CM,2,3,RA,886,-1,667,False
CM,2,4,RA,1583,-1,1319,False
CM,2,5,RA,15000,-1,8248,True
CM,2,6,RA,15001,-1,9999,True
CM,2,7,RA,15001,-1,9999,True
CM,2,8,RA,15001,-1,9999,True
CM,2,9,RA,15001,-1,9999,True
CM,2,10,RA,15001,-1,9999,True
CM,2,11,RA,15001,-1,9999,True
CM,2,12,RA,15001,-1,9999,True
CM,2,13,RA,15001,-1,9999,True
CM,2,14,RA,15001,-1,9999,True
CM,2,15,RA,15001,-1,9999,True
CM,3,2,RA,4741,-1,8207,False
CM,3,3,RA,13812,-1,103811,False
CM,3,4,RA,15000,-1,84459,True
CM,3,5,RA,15001,-1,9999,True
CM,3,6,RA,15001,-1,9999,True
CM,3,7,RA,15001,-1,9999,True
CM,3,8,RA,15001,-1,9999,True
CM,3,9,RA,15001,-1,9999,True
CM,3,10,RA,15001,-1,9999,True
CM,3,11,RA,15001,-1,9999,True
CM,3,12,RA,15001,-1,9999,True
CM,3,13,RA,15001,-1,9999,True
CM,3,14,RA,15001,-1,9999,True
CM,3,15,RA,15001,-1,9999,True
CM,4,2,RA,15000,-1,24227,True
CM,4,3,RA,15001,-1,9999,True
CM,4,4,RA,15001,-1,9999,True
CM,4,5,RA,15001,-1,9999,True
CM,4,6,RA,15001,-1,9999,True
CM,4,7,RA,15001,-1,9999,True
CM,4,8,RA,15001,-1,9999,True
CM,4,9,RA,15001,-1,9999,True
CM,4,10,RA,15001,-1,9999,True
CM,4,11,RA,15001,-1,9999,True
CM,4,12,RA,15001,-1,9999,True
CM,4,13,RA,15001,-1,9999,True
CM,4,14,RA,15001,-1,9999,True
CM,4,15,RA,15001,-1,9999,True
CM,5,2,RA,15001,-1,9999,True
CM,5,3,RA,15001,-1,9999,True
CM,5,4,RA,15001,-1,9999,True
CM,5,5,RA,15001,-1,9999,True
CM,5,6,RA,15001,-1,9999,True
CM,5,7,RA,15001,-1,9999,True
CM,5,8,RA,15001,-1,9999,True
CM,5,9,RA,15001,-1,9999,True
CM,5,10,RA,15001,-1,9999,True
CM,5,11,RA,15001,-1,9999,True
CM,5,12,RA,15001,-1,9999,True
CM,5,13,RA,15001,-1,9999,True
CM,5,14,RA,15001,-1,9999,True
CM,5,15,RA,15001,-1,9999,True
CM,6,2,RA,15001,-1,9999,True
CM,6,3,RA,15001,-1,9999,True
CM,6,4,RA,15001,-1,9999,True
CM,6,5,RA,15001,-1,9999,True
CM,6,6,RA,15001,-1,9999,True
CM,6,7,RA,15001,-1,9999,True
