Instance,N,K,Name,Transitions,States,Time(ms),Failed,Method
DP,2,2,./results/models/DP/2-2/DP-2-2-4100-partial.pth,49,43,253,False,2-2
DP,2,3,./results/models/DP/2-2/DP-2-2-4100-partial.pth,53,47,164,False,2-2
DP,2,4,./results/models/DP/2-2/DP-2-2-4100-partial.pth,57,51,162,False,2-2
DP,2,5,./results/models/DP/2-2/DP-2-2-4100-partial.pth,61,55,254,False,2-2
DP,2,6,./results/models/DP/2-2/DP-2-2-4100-partial.pth,65,59,250,False,2-2
DP,2,7,./results/models/DP/2-2/DP-2-2-4100-partial.pth,69,63,260,False,2-2
DP,2,8,./results/models/DP/2-2/DP-2-2-4100-partial.pth,73,67,412,False,2-2
DP,2,9,./results/models/DP/2-2/DP-2-2-4100-partial.pth,77,71,255,False,2-2
DP,2,10,./results/models/DP/2-2/DP-2-2-4100-partial.pth,81,75,246,False,2-2
DP,2,11,./results/models/DP/2-2/DP-2-2-4100-partial.pth,85,79,256,False,2-2
DP,2,12,./results/models/DP/2-2/DP-2-2-4100-partial.pth,89,83,267,False,2-2
DP,2,13,./results/models/DP/2-2/DP-2-2-4100-partial.pth,93,87,669,False,2-2
DP,2,14,./results/models/DP/2-2/DP-2-2-4100-partial.pth,97,91,281,False,2-2
DP,2,15,./results/models/DP/2-2/DP-2-2-4100-partial.pth,101,95,360,False,2-2
DP,3,2,./results/models/DP/2-2/DP-2-2-4100-partial.pth,99,85,583,False,2-2
DP,3,3,./results/models/DP/2-2/DP-2-2-4100-partial.pth,107,93,564,False,2-2
DP,3,4,./results/models/DP/2-2/DP-2-2-4100-partial.pth,115,101,629,False,2-2
DP,3,5,./results/models/DP/2-2/DP-2-2-4100-partial.pth,123,109,731,False,2-2
DP,3,6,./results/models/DP/2-2/DP-2-2-4100-partial.pth,131,117,531,False,2-2
DP,3,7,./results/models/DP/2-2/DP-2-2-4100-partial.pth,139,125,826,False,2-2
DP,3,8,./results/models/DP/2-2/DP-2-2-4100-partial.pth,147,133,985,False,2-2
DP,3,9,./results/models/DP/2-2/DP-2-2-4100-partial.pth,155,141,722,False,2-2
DP,3,10,./results/models/DP/2-2/DP-2-2-4100-partial.pth,163,149,950,False,2-2
DP,3,11,./results/models/DP/2-2/DP-2-2-4100-partial.pth,171,157,1087,False,2-2
DP,3,12,./results/models/DP/2-2/DP-2-2-4100-partial.pth,179,165,895,False,2-2
DP,3,13,./results/models/DP/2-2/DP-2-2-4100-partial.pth,187,173,1188,False,2-2
DP,3,14,./results/models/DP/2-2/DP-2-2-4100-partial.pth,195,181,897,False,2-2
DP,3,15,./results/models/DP/2-2/DP-2-2-4100-partial.pth,203,189,1064,False,2-2
DP,4,2,./results/models/DP/2-2/DP-2-2-4100-partial.pth,257,221,2231,False,2-2
DP,4,3,./results/models/DP/2-2/DP-2-2-4100-partial.pth,274,238,2581,False,2-2
DP,4,4,./results/models/DP/2-2/DP-2-2-4100-partial.pth,291,255,1678,False,2-2
DP,4,5,./results/models/DP/2-2/DP-2-2-4100-partial.pth,308,272,1992,False,2-2
DP,4,6,./results/models/DP/2-2/DP-2-2-4100-partial.pth,325,289,1735,False,2-2
DP,4,7,./results/models/DP/2-2/DP-2-2-4100-partial.pth,342,306,2705,False,2-2
DP,4,8,./results/models/DP/2-2/DP-2-2-4100-partial.pth,359,323,3331,False,2-2
DP,4,9,./results/models/DP/2-2/DP-2-2-4100-partial.pth,376,340,2805,False,2-2
DP,4,10,./results/models/DP/2-2/DP-2-2-4100-partial.pth,393,357,3092,False,2-2
DP,4,11,./results/models/DP/2-2/DP-2-2-4100-partial.pth,410,374,3749,False,2-2
DP,4,12,./results/models/DP/2-2/DP-2-2-4100-partial.pth,427,391,3803,False,2-2
DP,4,13,./results/models/DP/2-2/DP-2-2-4100-partial.pth,444,408,3806,False,2-2
DP,4,14,./results/models/DP/2-2/DP-2-2-4100-partial.pth,461,425,4084,False,2-2
DP,4,15,./results/models/DP/2-2/DP-2-2-4100-partial.pth,478,442,4276,False,2-2
DP,5,2,./results/models/DP/2-2/DP-2-2-4100-partial.pth,471,396,7957,False,2-2
DP,5,3,./results/models/DP/2-2/DP-2-2-4100-partial.pth,495,420,8148,False,2-2
DP,5,4,./results/models/DP/2-2/DP-2-2-4100-partial.pth,519,444,8840,False,2-2
DP,5,5,./results/models/DP/2-2/DP-2-2-4100-partial.pth,543,468,9535,False,2-2
