Instance,N,K,Name,Transitions,States,Time(ms),Failed,Method
BW,1,1,./results/models/BW/IERL/BW-2-2-6275-partial.pth,12,9,79,False,IERL
BW,1,2,./results/models/BW/IERL/BW-2-2-6275-partial.pth,9,8,210,False,IERL
BW,1,3,./results/models/BW/IERL/BW-2-2-6275-partial.pth,9,8,31,False,IERL
BW,1,4,./results/models/BW/IERL/BW-2-2-6275-partial.pth,9,8,33,False,IERL
BW,1,5,./results/models/BW/IERL/BW-2-2-6275-partial.pth,9,8,32,False,IERL
BW,1,6,./results/models/BW/IERL/BW-2-2-6275-partial.pth,9,8,64,False,IERL
BW,1,7,./results/models/BW/IERL/BW-2-2-6275-partial.pth,9,8,51,False,IERL
BW,1,8,./results/models/BW/IERL/BW-2-2-6275-partial.pth,9,8,42,False,IERL
BW,1,9,./results/models/BW/IERL/BW-2-2-6275-partial.pth,9,8,40,False,IERL
BW,1,10,./results/models/BW/IERL/BW-2-2-6275-partial.pth,9,8,43,False,IERL
BW,1,11,./results/models/BW/IERL/BW-2-2-6275-partial.pth,9,8,139,False,IERL
BW,1,12,./results/models/BW/IERL/BW-2-2-6275-partial.pth,9,8,44,False,IERL
BW,1,13,./results/models/BW/IERL/BW-2-2-6275-partial.pth,9,8,40,False,IERL
BW,1,14,./results/models/BW/IERL/BW-2-2-6275-partial.pth,9,8,49,False,IERL
BW,1,15,./results/models/BW/IERL/BW-2-2-6275-partial.pth,9,8,39,False,IERL
BW,2,1,./results/models/BW/IERL/BW-2-2-6275-partial.pth,33,24,210,False,IERL
BW,2,2,./results/models/BW/IERL/BW-2-2-6275-partial.pth,45,31,397,False,IERL
BW,2,3,./results/models/BW/IERL/BW-2-2-6275-partial.pth,51,35,365,False,IERL
BW,2,4,./results/models/BW/IERL/BW-2-2-6275-partial.pth,127,76,1451,False,IERL
BW,2,5,./results/models/BW/IERL/BW-2-2-6275-partial.pth,111,67,1097,False,IERL
BW,2,6,./results/models/BW/IERL/BW-2-2-6275-partial.pth,134,81,1530,False,IERL
BW,2,7,./results/models/BW/IERL/BW-2-2-6275-partial.pth,284,151,5041,False,IERL
BW,2,8,./results/models/BW/IERL/BW-2-2-6275-partial.pth,261,144,4494,False,IERL
BW,2,9,./results/models/BW/IERL/BW-2-2-6275-partial.pth,349,188,7942,False,IERL
BW,2,10,./results/models/BW/IERL/BW-2-2-6275-partial.pth,353,192,8405,False,IERL
BW,2,11,./results/models/BW/IERL/BW-2-2-6275-partial.pth,421,224,11320,False,IERL
BW,2,12,./results/models/BW/IERL/BW-2-2-6275-partial.pth,429,230,13285,False,IERL
BW,2,13,./results/models/BW/IERL/BW-2-2-6275-partial.pth,593,304,21462,False,IERL
BW,2,14,./results/models/BW/IERL/BW-2-2-6275-partial.pth,521,274,18415,False,IERL
BW,2,15,./results/models/BW/IERL/BW-2-2-6275-partial.pth,560,293,20685,False,IERL
BW,3,1,./results/models/BW/IERL/BW-2-2-6275-partial.pth,105,73,873,False,IERL
BW,3,2,./results/models/BW/IERL/BW-2-2-6275-partial.pth,161,106,2738,False,IERL
BW,3,3,./results/models/BW/IERL/BW-2-2-6275-partial.pth,350,218,12695,False,IERL
BW,3,4,./results/models/BW/IERL/BW-2-2-6275-partial.pth,400,252,19627,False,IERL
BW,3,5,./results/models/BW/IERL/BW-2-2-6275-partial.pth,459,291,22464,False,IERL
BW,3,6,./results/models/BW/IERL/BW-2-2-6275-partial.pth,524,320,29793,False,IERL
BW,3,7,./results/models/BW/IERL/BW-2-2-6275-partial.pth,904,522,107537,False,IERL
BW,3,8,./results/models/BW/IERL/BW-2-2-6275-partial.pth,581,362,47430,False,IERL
BW,3,9,./results/models/BW/IERL/BW-2-2-6275-partial.pth,2173,1154,539614,False,IERL
BW,3,10,./results/models/BW/IERL/BW-2-2-6275-partial.pth,3195,1655,1338652,False,IERL
BW,3,11,./results/models/BW/IERL/BW-2-2-6275-partial.pth,3025,1593,1278012,False,IERL
BW,3,12,./results/models/BW/IERL/BW-2-2-6275-partial.pth,4819,2425,2748284,False,IERL
BW,3,13,./results/models/BW/IERL/BW-2-2-6275-partial.pth,7926,3823,5850165,False,IERL
BW,3,14,./results/models/BW/IERL/BW-2-2-6275-partial.pth,8985,4338,5684390,False,IERL
BW,3,15,./results/models/BW/IERL/BW-2-2-6275-partial.pth,5545,2830,2388792,False,IERL
BW,4,1,./results/models/BW/IERL/BW-2-2-6275-partial.pth,357,222,10013,False,IERL
BW,4,2,./results/models/BW/IERL/BW-2-2-6275-partial.pth,718,434,52998,False,IERL
BW,4,3,./results/models/BW/IERL/BW-2-2-6275-partial.pth,1551,867,238502,False,IERL
BW,4,4,./results/models/BW/IERL/BW-2-2-6275-partial.pth,1994,1123,409880,False,IERL
BW,4,5,./results/models/BW/IERL/BW-2-2-6275-partial.pth,3191,1761,1040551,False,IERL
BW,4,6,./results/models/BW/IERL/BW-2-2-6275-partial.pth,5313,2874,2710186,False,IERL
BW,4,7,./results/models/BW/IERL/BW-2-2-6275-partial.pth,8729,4570,6969310,False,IERL
BW,4,8,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,5191,9062372,True,IERL
BW,4,9,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,4,10,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,4,11,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,4,12,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,4,13,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,4,14,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,4,15,./results/models/BW/IERL/BW-2-2-6275-partial.pth,10001,10001,9999,True,IERL
BW,5,1,./results/models/BW/IERL/BW-2-2-6275-partial.pth,1190,687,134233,False,IERL
