Instance,N,K,Name,Transitions,States,Time(ms),Failed,Method
DP,1,1,./results/models/DP/IERL/DP-2-2-4460-partial.pth,3,4,19,False,IERL
DP,1,2,./results/models/DP/IERL/DP-2-2-4460-partial.pth,4,5,10,False,IERL
DP,1,3,./results/models/DP/IERL/DP-2-2-4460-partial.pth,5,6,8,False,IERL
DP,1,4,./results/models/DP/IERL/DP-2-2-4460-partial.pth,6,7,95,False,IERL
DP,1,5,./results/models/DP/IERL/DP-2-2-4460-partial.pth,7,8,9,False,IERL
DP,1,6,./results/models/DP/IERL/DP-2-2-4460-partial.pth,8,9,16,False,IERL
DP,1,7,./results/models/DP/IERL/DP-2-2-4460-partial.pth,9,10,17,False,IERL
DP,1,8,./results/models/DP/IERL/DP-2-2-4460-partial.pth,10,11,14,False,IERL
DP,1,9,./results/models/DP/IERL/DP-2-2-4460-partial.pth,11,12,19,False,IERL
DP,1,10,./results/models/DP/IERL/DP-2-2-4460-partial.pth,12,13,19,False,IERL
DP,1,11,./results/models/DP/IERL/DP-2-2-4460-partial.pth,13,14,20,False,IERL
DP,1,12,./results/models/DP/IERL/DP-2-2-4460-partial.pth,14,15,19,False,IERL
DP,1,13,./results/models/DP/IERL/DP-2-2-4460-partial.pth,15,16,27,False,IERL
DP,1,14,./results/models/DP/IERL/DP-2-2-4460-partial.pth,16,17,24,False,IERL
DP,1,15,./results/models/DP/IERL/DP-2-2-4460-partial.pth,17,18,17,False,IERL
DP,2,1,./results/models/DP/IERL/DP-2-2-4460-partial.pth,38,33,78,False,IERL
DP,2,2,./results/models/DP/IERL/DP-2-2-4460-partial.pth,41,36,161,False,IERL
DP,2,3,./results/models/DP/IERL/DP-2-2-4460-partial.pth,44,39,70,False,IERL
DP,2,4,./results/models/DP/IERL/DP-2-2-4460-partial.pth,47,42,72,False,IERL
DP,2,5,./results/models/DP/IERL/DP-2-2-4460-partial.pth,50,45,76,False,IERL
DP,2,6,./results/models/DP/IERL/DP-2-2-4460-partial.pth,53,48,74,False,IERL
DP,2,7,./results/models/DP/IERL/DP-2-2-4460-partial.pth,56,51,83,False,IERL
DP,2,8,./results/models/DP/IERL/DP-2-2-4460-partial.pth,59,54,238,False,IERL
DP,2,9,./results/models/DP/IERL/DP-2-2-4460-partial.pth,62,57,147,False,IERL
DP,2,10,./results/models/DP/IERL/DP-2-2-4460-partial.pth,65,60,215,False,IERL
DP,2,11,./results/models/DP/IERL/DP-2-2-4460-partial.pth,68,63,236,False,IERL
DP,2,12,./results/models/DP/IERL/DP-2-2-4460-partial.pth,71,66,133,False,IERL
DP,2,13,./results/models/DP/IERL/DP-2-2-4460-partial.pth,74,69,90,False,IERL
DP,2,14,./results/models/DP/IERL/DP-2-2-4460-partial.pth,77,72,93,False,IERL
DP,2,15,./results/models/DP/IERL/DP-2-2-4460-partial.pth,80,75,298,False,IERL
DP,3,1,./results/models/DP/IERL/DP-2-2-4460-partial.pth,67,58,352,False,IERL
DP,3,2,./results/models/DP/IERL/DP-2-2-4460-partial.pth,72,63,324,False,IERL
DP,3,3,./results/models/DP/IERL/DP-2-2-4460-partial.pth,77,68,290,False,IERL
DP,3,4,./results/models/DP/IERL/DP-2-2-4460-partial.pth,82,73,431,False,IERL
DP,3,5,./results/models/DP/IERL/DP-2-2-4460-partial.pth,87,78,248,False,IERL
DP,3,6,./results/models/DP/IERL/DP-2-2-4460-partial.pth,92,83,270,False,IERL
