Instance,N,K,Name,Transitions,States,Time(ms),Failed,Method
TA,1,1,./results/models/TA/IERL/TA-2-2-1455-partial.pth,21,18,104,False,IERL
TA,1,2,./results/models/TA/IERL/TA-2-2-1455-partial.pth,24,20,84,False,IERL
TA,1,3,./results/models/TA/IERL/TA-2-2-1455-partial.pth,27,22,216,False,IERL
TA,1,4,./results/models/TA/IERL/TA-2-2-1455-partial.pth,30,24,213,False,IERL
TA,1,5,./results/models/TA/IERL/TA-2-2-1455-partial.pth,33,26,70,False,IERL
TA,1,6,./results/models/TA/IERL/TA-2-2-1455-partial.pth,36,28,89,False,IERL
TA,1,7,./results/models/TA/IERL/TA-2-2-1455-partial.pth,39,30,275,False,IERL
TA,1,8,./results/models/TA/IERL/TA-2-2-1455-partial.pth,42,32,259,False,IERL
TA,1,9,./results/models/TA/IERL/TA-2-2-1455-partial.pth,45,34,164,False,IERL
TA,1,10,./results/models/TA/IERL/TA-2-2-1455-partial.pth,48,36,934,False,IERL
TA,1,11,./results/models/TA/IERL/TA-2-2-1455-partial.pth,51,38,353,False,IERL
TA,1,12,./results/models/TA/IERL/TA-2-2-1455-partial.pth,54,40,187,False,IERL
TA,1,13,./results/models/TA/IERL/TA-2-2-1455-partial.pth,57,42,223,False,IERL
TA,1,14,./results/models/TA/IERL/TA-2-2-1455-partial.pth,60,44,526,False,IERL
TA,1,15,./results/models/TA/IERL/TA-2-2-1455-partial.pth,63,46,274,False,IERL
TA,2,1,./results/models/TA/IERL/TA-2-2-1455-partial.pth,127,74,1196,False,IERL
TA,2,2,./results/models/TA/IERL/TA-2-2-1455-partial.pth,136,80,1167,False,IERL
TA,2,3,./results/models/TA/IERL/TA-2-2-1455-partial.pth,145,86,1274,False,IERL
TA,2,4,./results/models/TA/IERL/TA-2-2-1455-partial.pth,154,92,1110,False,IERL
TA,2,5,./results/models/TA/IERL/TA-2-2-1455-partial.pth,163,98,1313,False,IERL
TA,2,6,./results/models/TA/IERL/TA-2-2-1455-partial.pth,172,104,1333,False,IERL
TA,2,7,./results/models/TA/IERL/TA-2-2-1455-partial.pth,181,110,1337,False,IERL
TA,2,8,./results/models/TA/IERL/TA-2-2-1455-partial.pth,190,116,1616,False,IERL
TA,2,9,./results/models/TA/IERL/TA-2-2-1455-partial.pth,199,122,1447,False,IERL
TA,2,10,./results/models/TA/IERL/TA-2-2-1455-partial.pth,208,128,1601,False,IERL
TA,2,11,./results/models/TA/IERL/TA-2-2-1455-partial.pth,217,134,1621,False,IERL
TA,2,12,./results/models/TA/IERL/TA-2-2-1455-partial.pth,226,140,1741,False,IERL
TA,2,13,./results/models/TA/IERL/TA-2-2-1455-partial.pth,235,146,1615,False,IERL
TA,2,14,./results/models/TA/IERL/TA-2-2-1455-partial.pth,244,152,1856,False,IERL
TA,2,15,./results/models/TA/IERL/TA-2-2-1455-partial.pth,253,158,2034,False,IERL
TA,3,1,./results/models/TA/IERL/TA-2-2-1455-partial.pth,685,321,21808,False,IERL
TA,3,2,./results/models/TA/IERL/TA-2-2-1455-partial.pth,706,335,22885,False,IERL
TA,3,3,./results/models/TA/IERL/TA-2-2-1455-partial.pth,727,349,26418,False,IERL
TA,3,4,./results/models/TA/IERL/TA-2-2-1455-partial.pth,748,363,29329,False,IERL
TA,3,5,./results/models/TA/IERL/TA-2-2-1455-partial.pth,769,377,30307,False,IERL
TA,3,6,./results/models/TA/IERL/TA-2-2-1455-partial.pth,790,391,32354,False,IERL
TA,3,7,./results/models/TA/IERL/TA-2-2-1455-partial.pth,811,405,44363,False,IERL
TA,3,8,./results/models/TA/IERL/TA-2-2-1455-partial.pth,832,419,26329,False,IERL
