Instance,N,K,Transitions,States,Time(ms),Failed,Features Vectors
BW,2,2,72,45,183.0,False,"{32506113, 12587010, 15728897, 29364228, 63443076, 29365252, 50598914, 29364232, 50598024, 3670273, 50869256, 12588036, 50598920, 54001921, 37224705, 32506128, 15728912, 54001936, 8917636, 33821698, 50597954, 33820738, 29364292, 12587076, 29372482, 12588100, 29364296, 50597960, 29365256, 537608, 50868296}"
BW,2,3,133,69,463.0,False,"{32506113, 12587010, 15728897, 29364228, 50598018, 29365252, 63443076, 29364232, 29365256, 50598024, 46665860, 12588036, 50598920, 54001921, 50869256, 32506128, 15728912, 37224705, 20447489, 37224720, 20447504, 50598914, 33821698, 50598916, 33820738, 12595266, 29364292, 12587076, 50597954, 12588100, 29364296, 50597960, 17314824, 50598984, 34092040, 29365316, 33821768, 50598978}"
BW,2,4,74,45,119.0,False,"{32506113, 12587010, 15728897, 29364228, 29365252, 33820802, 12588036, 29364232, 29365256, 50598024, 63443076, 33821704, 50598920, 54001921, 37224705, 32506128, 15728912, 50598914, 33820738, 12595266, 29364292, 12587076, 50597954, 29364296, 50597960, 17314824, 34092040}"
BW,2,5,89,53,166.0,False,"{32506113, 12587010, 15728897, 29364228, 33820802, 29365252, 63443076, 29364232, 29365256, 50598024, 29888644, 12588036, 50598920, 54001921, 37224705, 32506128, 15728912, 50598914, 33821698, 33820738, 12595266, 29364292, 12587076, 50597954, 29364296, 50597960, 17314824}"
BW,2,6,328,150,1359.0,False,"{32506113, 12587010, 15728897, 29364228, 29365252, 63443076, 50598018, 29364232, 50598024, 54001921, 46665860, 50598920, 12588036, 17314824, 29365256, 32506128, 15728912, 37224705, 37224720, 54001936, 50598914, 33821698, 50598916, 33821700, 50597954, 29372482, 29364292, 12587076, 33820738, 29365316, 29364296, 34092040, 50597960, 12588100, 17313864, 50598978}"
BW,2,7,568,246,2913.0,False,"{32506113, 12587010, 15728897, 29364228, 29365252, 33820802, 12588036, 29364232, 29365256, 50598024, 63443076, 50598920, 33821704, 54001921, 37224705, 32506128, 15728912, 20447489, 54001936, 37224720, 3670273, 20447504, 50598914, 33821698, 50598916, 33820738, 12595266, 29364292, 12587076, 50597954, 33821762, 29364296, 50597960, 17314824, 17313864, 34092040, 29365316, 50869256, 50597956, 50598978, 12588100}"
BW,2,8,122,69,361.0,False,"{32506113, 12587010, 15728897, 29364228, 29365252, 50598018, 12588036, 29364232, 50598024, 50598920, 46665860, 29888644, 33821704, 54001921, 37224705, 32506128, 15728912, 50598914, 33821698, 33820738, 12595266, 29364292, 12587076, 50597954, 29364296, 50869256, 17314824}"
BW,2,9,134,75,262.0,False,"{32506113, 12587010, 15728897, 29364228, 50598018, 29365252, 46665860, 29364232, 29365256, 50598024, 29888644, 12588036, 50598920, 37224705, 54001921, 32506128, 15728912, 50598914, 33821698, 33820738, 12595266, 29364292, 12587076, 50597954, 29364296, 50597960, 33821704, 17314824}"
BW,2,10,926,392,8717.0,False,"{32506113, 29364226, 33821698, 29364228, 12587012, 59248772, 63443076, 29364232, 29365256, 29365252, 50598914, 12588036, 50598920, 37224705, 54001921, 15728912, 32506128, 15728897, 3670273, 20447489, 54001936, 37224720, 3670288, 20447504, 33821314, 50598916, 50598536, 29364290, 12595266, 12587076, 29364292, 50597954, 33820738, 50597960, 29364296, 50869256, 33820744, 537608, 12588100, 17314824, 50868296, 34092040, 50598978, 29365316}"
BW,2,11,1095,472,14486.0,False,"{32506113, 15728897, 29364226, 29364228, 29365252, 63443076, 50598018, 12587016, 50598024, 54001921, 46665860, 50598920, 12588036, 37224705, 33821704, 32506128, 15728912, 54001936, 20447504, 3670273, 37224720, 3670288, 50598914, 33821698, 50598916, 50597954, 29372482, 29364292, 12587076, 33820738, 50598978, 29364296, 29365256, 17314824, 17313864, 50597960, 50869256, 34092040, 33820740, 12588100, 33821762, 29365316}"
BW,2,12,1238,536,17544.0,False,"{32506113, 15728897, 29364226, 29364228, 29365252, 50598018, 12588036, 12587016, 50598024, 50598920, 63443076, 46665860, 33821704, 54001921, 37224705, 32506128, 15728912, 20447489, 3670288, 54001936, 3670273, 37224720, 20447504, 50598914, 33821698, 50598916, 50597954, 33820738, 29364292, 12587076, 12595266, 12588100, 29364296, 29365256, 50598978, 17314824, 50869256, 50597960, 34092040, 17313864, 33820744, 33821768, 50598980, 29365316}"
BW,2,13,1541,632,20410.0,False,"{32506113, 15728897, 29364226, 29364228, 29365252, 63443076, 37224705, 12587016, 50598920, 33821698, 33820802, 29365256, 12588036, 50598024, 33821704, 32506128, 15728912, 54001921, 37224720, 54001936, 20447489, 20447504, 3670273, 3670288, 50598914, 50598916, 50597954, 12595266, 29364292, 12587076, 12588100, 33820738, 29364296, 17314824, 50597960, 34092040, 17313864, 50869256, 33821762, 50598978, 29365316}"
BW,2,14,1458,644,28099.0,False,"{32506113, 15728897, 29364226, 29364228, 29365252, 63443076, 50598018, 12587016, 50598024, 54001921, 46665860, 50598920, 12588036, 37224705, 33821704, 32506128, 15728912, 54001936, 3670288, 20447504, 3670273, 37224720, 50598914, 33821698, 33821700, 50597954, 29372482, 29364292, 12587076, 33820738, 50598978, 29364296, 50869256, 29365256, 17314824, 34092040}"
BW,2,15,1961,791,42114.0,False,"{32506113, 15728897, 29364226, 29364228, 29365252, 54001921, 50598018, 12587016, 50598024, 46665860, 29888644, 50598920, 33821704, 37224705, 17314824, 32506128, 15728912, 54001936, 37224720, 3670288, 3670273, 20447504, 50598914, 33821698, 12588036, 50598916, 33820738, 50597954, 29364292, 12587076, 29372482, 50598978, 29364296, 29365256, 50869256, 34092040, 50598984, 50597960, 12588100, 50598980}"
BW,3,2,382,200,1745.0,False,"{32506113, 15728897, 50598914, 29364228, 29365252, 59248772, 63443076, 29364232, 29365256, 50598920, 50598024, 50869256, 29364226, 54001921, 37224705, 32506128, 15728912, 54001936, 3670288, 37224720, 3670273, 50598530, 25694852, 50598916, 50597954, 29364290, 29364292, 29372482, 29365316, 50598978, 29364296, 50597960, 17314824, 17313864, 50598980, 29365314}"
BW,3,3,1041,479,9205.0,False,"{32506113, 15728897, 29364226, 29364228, 29365252, 50598914, 20447489, 29364232, 29365256, 50598024, 50869256, 50598920, 50598916, 3670273, 37224705, 32506128, 15728912, 54001936, 54001921, 37224720, 20447504, 3670288, 59249284, 50597954, 29372482, 29364292, 29364290, 50597956, 29365316, 29364296, 50597960, 50868296, 50598980, 50598984, 17314824, 50598978}"
BW,3,4,1873,821,20729.0,False,"{32506113, 15728897, 54001921, 29364228, 29365252, 29364226, 50598914, 29364232, 29365256, 50598920, 29373448, 50869256, 50598408, 3670273, 20447489, 32506128, 15728912, 37224720, 54001936, 37224705, 3670288, 20447504, 50598402, 59249156, 25694724, 50598916, 29364290, 50597954, 29364292, 50597956, 50598978, 29365316, 29364296, 50597960, 50868296, 17313864, 17314824, 50598980, 50868290}"
BW,3,5,2110,950,31104.0,False,"{32506113, 15728897, 37224705, 29364228, 29365252, 29364354, 59248772, 29364232, 29365256, 50598920, 50598024, 50597890, 17314824, 54001921, 3670273, 32506128, 15728912, 54001936, 20447504, 37224720, 3670288, 50598914, 50598916, 50597954, 29364290, 29364292, 29372482, 29365316, 50598978, 29364296, 50597960, 17313864, 50869256, 50869320, 50597956, 50598980}"
BW,3,6,4689,1957,121448.0,False,"{32506113, 3670273, 29364226, 29364228, 29365252, 50598914, 15728897, 29365256, 29364232, 50598920, 50598024, 50869256, 50598916, 37224705, 54001921, 15728912, 32506128, 54001936, 20447504, 37224720, 20447489, 3670288, 59249284, 29364290, 29372482, 29364292, 50597954, 50598978, 29365316, 29364296, 50597960, 50598984, 50868296, 50597956, 17314824, 50598980}"
BW,3,7,5001,2136,146857.0,True,"{32506113, 3670273, 54001921, 29364228, 29365252, 29364226, 15728897, 29364232, 29365256, 50598920, 50598914, 29373448, 50869256, 37224705, 50598408, 32506128, 15728912, 54001936, 3670288, 20447489, 37224720, 20447504, 50598916, 29364290, 50597954, 29364292, 29365316, 50597956, 50598978, 50597960, 29364296, 50868296, 50598984, 17314824, 50598980}"
BW,3,8,5001,5001,9999,True,set()
BW,3,9,5001,5001,9999,True,set()
BW,3,10,5001,5001,9999,True,set()
BW,3,11,5001,5001,9999,True,set()
BW,3,12,5001,5001,9999,True,set()
BW,3,13,5001,5001,9999,True,set()
BW,3,14,5001,5001,9999,True,set()
BW,3,15,5001,5001,9999,True,set()
BW,4,2,1961,929,27278.0,False,"{32506113, 29365250, 20447489, 29364228, 29365252, 12587012, 15728897, 29365256, 12588040, 54001921, 50598920, 12588036, 29364744, 3670273, 37224705, 15728912, 32506128, 54001936, 37224720, 50597890, 20447504, 3670288, 50598402, 59249156, 42471940, 25694724, 50597896, 50598914, 33821698, 33821700, 50598916, 29364290, 33821762, 29364292, 12587076, 29365316, 50597954, 29364296, 29365320, 50597960, 29372488, 50598984, 50869256, 50868296, 33820738, 33821704, 33820744, 12587074, 50868290, 50597956, 33820740, 12588100, 33821764, 50869320, 34091080, 50598978, 50598980, 17314824, 34092040}"
BW,4,3,5001,2251,180823.0,True,"{32506113, 29364226, 50598914, 29364228, 29365252, 12588036, 15728897, 29365256, 29364232, 50598920, 12587012, 50869256, 50598408, 3670273, 20447489, 15728912, 32506128, 3670288, 54001921, 54001936, 37224705, 59248644, 37224720, 20447504, 50598402, 59249156, 63443460, 42471940, 29364740, 12588034, 33821698, 33821700, 50598916, 33820738, 50597954, 29364292, 12587076, 50869320, 50597956, 29364296, 50597960, 29372488, 12588040, 17314824, 50598984, 50868296, 34091080, 17313864, 34092040, 50868290, 33820740, 29365316, 33821764, 12588100, 17314888, 33820744, 50598978, 33821762, 33821704, 50598980}"
BW,4,4,5001,5001,9999,True,set()
BW,4,5,5001,5001,9999,True,set()
BW,4,6,5001,5001,9999,True,set()
BW,4,7,5001,5001,9999,True,set()
BW,4,8,5001,5001,9999,True,set()
BW,4,9,5001,5001,9999,True,set()
BW,4,10,5001,5001,9999,True,set()
BW,4,11,5001,5001,9999,True,set()
BW,4,12,5001,5001,9999,True,set()
BW,4,13,5001,5001,9999,True,set()
BW,4,14,5001,5001,9999,True,set()
BW,4,15,5001,5001,9999,True,set()
BW,5,2,5001,2425,204951.0,True,"{32506113, 29364226, 15728897, 29364228, 29365252, 50598914, 29364740, 29364232, 29365256, 50598920, 29373448, 50598408, 63443460, 54001921, 50869256, 32506128, 54001936, 15728912, 3670273, 37224705, 20447489, 37224720, 20447504, 3670288, 59248644, 50598916, 50597954, 50598978, 29364292, 29365316, 29364290, 50597956, 29364296, 50597960, 50868296, 50868290, 17314824, 50598980, 17313864, 50598984, 50869320, 29365314}"
BW,5,3,5001,5001,9999,True,set()
BW,5,4,5001,5001,9999,True,set()
BW,5,5,5001,5001,9999,True,set()
BW,5,6,5001,5001,9999,True,set()
BW,5,7,5001,5001,9999,True,set()
BW,5,8,5001,5001,9999,True,set()
BW,5,9,5001,5001,9999,True,set()
