Instance,N,K,Transitions,States,Time(ms),Failed,Features Vectors
DP,2,2,31,27,87.0,False,"{130025473, 130056322, 62947842, 130023556, 130023940, 130023684, 115343876, 130025480, 130024456, 62914692, 130064386, 115343620, 117465104, 50356240, 117457936, 50349072, 236994832, 130023488, 130031680, 62914624, 216014912, 130024000, 216006976}"
DP,2,3,33,29,46.0,False,"{130025473, 62947458, 130056706, 130023556, 130023940, 130023684, 115343876, 130025480, 130024456, 62947842, 130064386, 115343620, 117465104, 50356240, 117457936, 50349072, 236994832, 130023488, 130031680, 62914624, 216014912, 130024000, 216006976, 62915136}"
DP,2,4,35,31,63.0,False,"{130025473, 130056322, 130056706, 130023556, 130023940, 62914692, 130023684, 130025480, 130024456, 62915076, 115343876, 130064386, 115343620, 117465104, 50356240, 117457936, 50349072, 236994832, 130023488, 130031680, 62914624, 216014912, 130024000, 216006976, 62915136}"
DP,2,5,37,33,51.0,False,"{130025473, 130056322, 130056706, 130023556, 130023940, 130023684, 115343876, 130025480, 130024456, 62914692, 115343620, 62915076, 130064386, 117465104, 50356240, 117457936, 50349072, 236994832, 130023488, 130031680, 62914624, 216014912, 130024000, 62915136, 216006976}"
DP,2,6,39,35,51.0,False,"{130025473, 62947458, 130056706, 130023556, 130023940, 130023684, 115343876, 130025480, 130024456, 62915076, 115343620, 130064386, 117465104, 50356240, 117457936, 50349072, 236994832, 130023488, 130031680, 62914624, 216014912, 130024000, 216006976, 62915136}"
DP,2,7,41,37,52.0,False,"{130025473, 62947458, 130064386, 130023556, 130023940, 130023684, 115343876, 130025480, 130024456, 62947842, 115343620, 117465104, 50356240, 117457936, 50349072, 236994832, 130023488, 130031680, 62914624, 216014912, 130024000, 216006976}"
DP,2,8,43,39,67.0,False,"{130025473, 62947458, 62947842, 130023556, 130023940, 130056706, 115343620, 130025480, 130024456, 130023684, 130064386, 115343876, 117465104, 50356240, 117457936, 50349072, 236994832, 130023488, 130031680, 62914624, 216014912, 130024000, 216006976, 62915136}"
DP,2,9,45,41,58.0,False,"{130025473, 62947458, 130056706, 130023556, 130023940, 130023684, 115343876, 130025480, 130024456, 115343620, 62915076, 130064386, 117465104, 50356240, 117457936, 50349072, 236994832, 130023488, 130031680, 62914624, 216014912, 130024000, 216006976, 62915136}"
DP,2,10,47,43,65.0,False,"{130025473, 130056322, 130056706, 130023556, 130023940, 62914692, 130023684, 130025480, 130024456, 115343876, 115343620, 62915076, 130064386, 117465104, 50356240, 117457936, 50349072, 236994832, 130023488, 130031680, 62914624, 216014912, 130024000, 62915136, 216006976}"
DP,2,11,49,45,65.0,False,"{130025473, 130056322, 130056706, 130023556, 130023940, 130023684, 62914692, 130025480, 130024456, 115343876, 62915076, 130064386, 115343620, 117465104, 50356240, 117457936, 50349072, 236994832, 130023488, 130031680, 62914624, 216014912, 130024000, 62915136, 216006976}"
