Instance,N,K,Transitions,States,Time(ms),Failed,Features Vectors
TA,2,2,178,91,806.0,False,"{136339442106880, 136339508985856, 136339441844226, 136343736812544, 123196976136193, 52793872220164, 120946279186434, 136339442900992, 65970764775432, 65970698723328, 136339508953096, 248541301702657, 194630872203268, 264999616380932, 37434968506369, 248541201039361, 123162616397840, 136339446039040, 136348031779328, 123171072114704, 123162515734544, 123162515734532, 265008072097796, 264999501037572, 264999484260356, 37434968506372, 194630771539972, 264999515717636, 264999486357508, 194630740082692, 194639327920132, 107803813347329, 136340247150624, 65971502972960, 37434953826305, 136339710279712, 52793740099585, 37434937049089, 65970764808192, 107803712684033, 264999484260353, 123162616397888, 136340515588096, 52793872220224, 123162484277312, 52802327937088, 123171072114752, 65971503038464, 136340247216128, 123162515734592, 123162486374464, 65970966167552, 123162484277264, 213322452434960, 2216236679184, 72593537237008, 123162486374416, 212222957584400, 213322437754896, 52793742196752, 213322569875472, 213322469212176, 248541201039364, 264999498940420, 226499403710592, 279276221894656, 156130659532928, 261684035850240, 65970706055296, 136339450232960, 264999515717633, 248549757419521, 194630771539969, 178172440084481, 265008072097793, 264999517814785, 178172442181633, 194630740082689, 136339450233088, 15393171177728, 226499403710720, 65970706055424, 85761915355392, 84662403727616, 225399892082944, 264999486357505, 52793771556928, 123162498957376, 52793742196800, 213331025592336}"
TA,2,3,178,93,461.0,False,"{136339442106880, 136339508985856, 136339441844226, 136339442900992, 136343736812544, 123162616397828, 52828231958529, 136340515588096, 65970764775432, 120946279186434, 248541301702657, 248541186359297, 264999616380932, 123162515734532, 37434968506369, 123162515734529, 52793872220176, 136348031779328, 136339446039040, 123162515734544, 52793771556880, 194630756859908, 264999484260356, 265008072097796, 264999515717636, 248541201039364, 264999498940420, 194630788317188, 194630771539972, 264999486357505, 65971234537504, 65971502972960, 248549757419521, 194630740082689, 194630773637121, 264999484260353, 136340247150624, 248541201039361, 194630771539969, 226503690290176, 123162616397888, 261684841154560, 123162486374464, 123162515734592, 123162484277312, 52793740099648, 136339978780672, 136339710345216, 52793742196800, 65971503038464, 52793742196752, 123162484277264, 123162486374416, 1116693594128, 72593537237008, 123171072114704, 213322454532112, 1116725051408, 213322469212176, 213322452434960, 226499403710592, 136339710283776, 120946547494912, 279276221894656, 138539270410240, 65970706055296, 15393171177600, 85761915355264, 156130659532928, 264999515717633, 178172440084481, 265008072097793, 107803695906817, 107803712684033, 107803698003969, 264999517814785, 65970706055424, 136339450233088, 85761915355392, 84662403727616, 226499403710720, 156130659533056, 52802327937088, 123171072114752, 123162498957376, 142953725034512, 2216219901968}"
TA,2,4,192,99,598.0,False,"{136339442106880, 136339508985856, 136339441844226, 136343736812544, 123162616397828, 52828231958529, 120946279186434, 136339442900992, 65970764775432, 136340515588096, 136339508953096, 264999486357508, 264999484260356, 194630872203268, 123162486374401, 194630740082689, 123162486374416, 136348031779328, 123162616397840, 52793742196752, 213322452434960, 123162484277264, 136339446039040, 123162515734532, 194630754762756, 123162498957316, 194630771539972, 264999616380932, 248541201039364, 264999498940420, 194630773637124, 248541301702657, 65971234537504, 136339710279712, 248541184262145, 248541169582081, 264999517814785, 37434953826305, 65970764808192, 264999515717633, 37434968506369, 123162486374464, 261684841154560, 279277027198976, 123162484277312, 123162515734592, 123171072114752, 136339978780672, 65971503038464, 123162616397888, 123162633175104, 120947352799232, 213322469212176, 142953825697808, 123162515734544, 72593537237008, 142962281414672, 212222926127120, 123171072114704, 1116725051408, 142953693577232, 194630756859908, 265008072097796, 194630790414340, 264999515717636, 37434968506372, 194630740082692, 136339450232960, 279276221894656, 136340247154688, 136339710283776, 120946547494912, 65970706055296, 138539270410240, 136339978719232, 15393171177600, 156130659532928, 107803712684033, 194630771539969, 107803813347329, 248549757419521, 265008072097793, 248541203136513, 107803698003969, 264999484260353, 194630773637121, 136339450233088, 65970698723328, 65970706055424, 226499403710720, 85761915355392, 225399892082944, 264999486357505, 123162498957376, 52793756876864, 52793742196800, 52802327937088}"
TA,2,5,193,102,722.0,False,"{136339442106880, 136339442900992, 136339441844226, 136340515588096, 136339710283776, 120946815930368, 279277027198976, 136340247154688, 136339508953096, 136339508985856, 65970764775432, 123162515734532, 123162616397828, 52828231958529, 120946279186434, 264999515717633, 123162486374416, 136339446039040, 123162484277264, 52793872220176, 136348031779328, 264999616380932, 264999484260356, 248541201039364, 194630742179844, 264999515717636, 264999486357508, 194630771539972, 194630740082692, 264999498940420, 194630773637124, 37434968506369, 136339978715168, 136343736812544, 123162486374401, 248541301702657, 107803813347329, 194630740082689, 65970764808192, 136339710279712, 194630771539969, 123162616397888, 123162486374464, 261684841154560, 123162515734592, 52793872220224, 120947352799232, 65971234603008, 123171072114752, 123162484277312, 123162498957376, 65971503038464, 72585081520144, 123162515734544, 52793742196752, 123171072114704, 52793740099600, 142953708257296, 212222957584400, 212222926127120, 72584980856848, 213331025592336, 194639327920132, 194630790414340, 194630756859908, 15393171177600, 136339450232960, 226499403710592, 120946547494912, 120947084365824, 138539270410240, 156130659532928, 85761915355264, 248541201039361, 265008072097793, 248541184262145, 178172456861697, 248549757419521, 264999484260353, 264999517814785, 37434953826305, 248541186359297, 136339450233088, 85761915355392, 65970706055424, 226499403710720, 225399892082944, 156130659533056, 264999486357505, 52802327937088, 52793740099648, 1116725051408, 72593537237008}"
TA,2,6,223,115,568.0,False,"{136339442106880, 136339508985856, 136339441844226, 136339442900992, 136340515588096, 65970698723328, 136339710283776, 279276221894656, 65970764775432, 120946815930368, 136339508953096, 123196976136193, 120946279186434, 248541169582081, 123162486374401, 37434937049089, 123162616397840, 136348031779328, 136339446039040, 123162486374416, 213322469212176, 52793872220164, 123162515734532, 194630872203268, 248541201039364, 264999515717636, 123162484277252, 264999498940420, 37434968506372, 194630756859908, 264999616380932, 37434968506369, 136339978715168, 136343736812544, 136339710279712, 194630771539969, 264999515717633, 178172440084481, 65970764808192, 136340247150624, 178172456861697, 123162616397888, 123162486374464, 123171072114752, 123162484277312, 123162515734592, 52793742196800, 65971234603008, 65971503038464, 123162498957376, 261684841154560, 120947352799232, 123162515734544, 72584964079632, 212222957584400, 123162484277264, 142953708257296, 72593537237008, 2224793059344, 123171072114704, 52793771556880, 213322437754896, 264999486357508, 265008072097796, 264999484260356, 194630740082692, 264999501037572, 194630771539972, 226499403710592, 120947084365824, 120946547494912, 138538733539328, 15393171177600, 85761915355264, 156130659532928, 65970706055296, 136339978719232, 248541184262145, 248549757419521, 107803830124545, 265008072097793, 107803813347329, 194630740082689, 264999484260353, 37434987380737, 136339450233088, 65970706055424, 226499403710720, 85761915355392, 15393171177728, 225399892082944, 155031147905280, 52793771556928, 52793740099648, 279277027198976, 52802327937040, 2216337342480, 142953693577232, 52793742196752, 72584980856848, 142953725034512}"
TA,2,7,225,118,861.0,False,"{136339442106880, 136339508985856, 136339441844226, 136339442900992, 136340515588096, 136343736812544, 279276221894656, 136339710283776, 65970764775432, 120946547494912, 136339508953096, 123205431853057, 120946279186434, 123162616397828, 37435069169665, 37434968506369, 123162616397840, 136348031779328, 136339446039040, 72593537237008, 213331025592336, 265008072097796, 264999484260356, 123162515734532, 52793771556868, 264999498940420, 264999515717636, 264999635255300, 194630740082692, 194630771539972, 248541201039364, 248541201039361, 65971234537504, 123162486374401, 37434953826305, 178172576399361, 264999484260353, 194630740082689, 65970764808192, 264999515717633, 194630771539969, 123171072114752, 120947352799232, 123162498957376, 123162486374464, 123162616397888, 52802327937088, 136339978780672, 123162515734592, 52793771556928, 261684841154560, 52793742196752, 123162515734544, 213322452434960, 212222957584400, 123162486374416, 123162484277264, 52793740099600, 1116693594128, 213322469212176, 213322569875472, 264999486357508, 37434968506372, 194630872203268, 65970706055296, 120946815930368, 279276758765568, 136340247154688, 136339978719232, 85761915355264, 15393171177600, 156130659532928, 136339450232960, 107803813347329, 194639327920129, 178172440084481, 107803698003969, 136339450233088, 65970706055424, 226499403710720, 225399892082944, 84662403727616, 123162484277312, 2216221999120, 2216236679184, 212222926127120, 123171072114704}"
TA,2,8,209,116,680.0,False,"{136339442106880, 136339508985856, 136339441844226, 136339442900992, 136340515588096, 279276221894656, 65970698723328, 136343736812544, 65970764775432, 136340247154688, 123162616397828, 52828231958529, 120946279186434, 136339508953096, 123162486374401, 248541301702657, 123171072114704, 136339446039040, 123162515734544, 123162484277264, 136348031779328, 264999616380932, 264999486357508, 264999484260356, 123162515734532, 37434968506372, 194639327920132, 264999517814788, 123162484277252, 264999501037572, 264999515717636, 194630740082689, 136340247150624, 65971502972960, 194630771539969, 264999515717633, 65970966102048, 194630773637121, 65970764808192, 178172456861697, 248541201039361, 123171072114752, 279277027198976, 120947352799232, 123162515734592, 123162484277312, 123162486374464, 65971503038464, 136340247216128, 136339710345216, 52793888997440, 123162616397840, 212222957584400, 123162486374416, 52793742196752, 213322452434960, 213331025592336, 142953693577232, 213322437754896, 213322469212176, 194630771539972, 194630754762756, 248541201039364, 265008072097796, 194630740082692, 156130659532928, 120946547494912, 120947084365824, 136339710283776, 136339978719232, 279276758765568, 226499403710592, 15393171177600, 65970706055296, 85761915355264, 261684035850240, 37434985283585, 248541184262145, 107803712684033, 37434953826305, 264999484260353, 107803832221697, 136339450233088, 226499403710720, 85761915355392, 225399892082944, 65970706055424, 156130659533056, 15393171177728, 264999486357505, 123162498957376, 52802327937088, 52793742196800}"
TA,2,9,249,132,974.0,False,"{136339442106880, 136339508985856, 136339441844226, 136339442900992, 136340515588096, 136339710283776, 279277027198976, 120946547494912, 65970764775432, 136340247154688, 136339978780672, 123196875472897, 120946279186434, 123162616397828, 123162486374401, 178172557524993, 123171072114704, 136348031779328, 136339446039040, 123162486374416, 213331025592336, 194630742179844, 264999484260356, 123162515734532, 213322469212176, 248541201039364, 264999515717636, 264999616380932, 194630771539972, 194630754762756, 265008072097796, 37434968506369, 65971234537504, 136343736812544, 136339978715168, 194630740082689, 37435069169665, 264999484260353, 248541184262145, 65970966102048, 194630771539969, 123162616397888, 261684841154560, 123162486374464, 123162484277312, 123171072114752, 123162498957376, 65971234603008, 136339710345216, 123162515734592, 52793754779712, 120947352799232, 123162484277264, 142953693577232, 123162515734544, 142953825697808, 212222957584400, 72585100394512, 72584949399568, 213322452434960, 264999498940420, 194639327920132, 37434968506372, 194630773637124, 194630756859908, 194630740082692, 65970706055296, 120947084365824, 226499403710592, 136339978719232, 279276490330112, 120946815930368, 261684304285696, 15393171177600, 136339450232960, 156130659532928, 178172456861697, 264999515717633, 178181013241857, 107803712684033, 265008072097793, 107803830124545, 194630773637121, 136339450233088, 85761915355392, 65970706055424, 225399892082944, 226499403710720, 264999486357505}"
TA,2,10,258,138,862.0,False,"{136339442106880, 136339508985856, 136339441844226, 136339442900992, 136340515588096, 136339710283776, 279277027198976, 136343736812544, 65970764775432, 123162616397828, 52828231958529, 120946279186434, 264999616380932, 123162515734532, 248541184262145, 37434968506369, 142953825697808, 136348031779328, 123171072114704, 213322469212176, 123162515734544, 194639327920132, 194630756859908, 123162484277252, 123162486374416, 123162484277264, 264999515717636, 248541201039364, 37434968506372, 194630771539972, 264999498940420, 248549757419521, 136340247150624, 107803830124545, 248541169582081, 65971234537504, 52793771556865, 264999515717633, 37434953826305, 107803712684033, 178172456861697, 136339508953096, 65970764808192, 123162616397888, 120947352799232, 123171072114752, 123162515734592, 123162486374464, 52793742196800, 65971503038464, 136339978780672, 123162498957376, 123162484277312, 261684841154560, 2216221999120, 213322437754896, 52793771556880, 2216219901968, 213331025592336, 136339446039040, 212222926127120, 212222957584400, 213322569875472, 142953725034512, 194630773637124, 264999484260356, 194630740082692, 264999486357508, 264999501037572, 265008072097796, 194630742179844, 194630872203268, 264999517814788, 65970706055296, 136339978719232, 279276758765568, 120947084365824, 120946815930368, 156130659532928, 15393171177600, 226499403710592, 85761915355264, 120946547494912, 279276221894656, 136340247154688, 107803695906817, 265008072097793, 264999484260353, 264999517814785, 194630740082689, 136339450233088, 65970698723328, 65970706055424, 226499403710720, 85761915355392, 155031147905280, 225399892082944, 84662403727616, 264999486357505, 123162501054528, 52793740099648, 52802327937088}"
TA,2,11,262,142,678.0,False,"{136339442106880, 136339508985856, 136339441844226, 136339442900992, 136340515588096, 136339710283776, 120946547494912, 136339978719232, 65970764775432, 138539538843648, 123162616397828, 52828231958529, 120946279186434, 136339508953096, 123162486374401, 248541201039361, 52793872220176, 136348031779328, 136339446039040, 123162515734544, 123162486374416, 264999616380932, 264999484260356, 123162484277252, 52793771556868, 248541201039364, 194630771539972, 265008072097796, 264999515717636, 264999486357508, 194630740082692, 194630771539969, 136339978715168, 136343736812544, 136339710279712, 194630740082689, 264999515717633, 264999484260353, 65970764808192, 37434968506369, 248549757419521, 123162616397888, 120947352799232, 123171072114752, 123162486374464, 279277027198976, 123162515734592, 65971503038464, 65970966167552, 123162484277312, 52802327937088, 52793742196752, 123162484277264, 52793771556880, 213322569875472, 213331025592336, 213322452434960, 213322469212176, 123171072114704, 212222926127120, 194630872203268, 264999498940420, 194630773637124, 226499403710592, 120946815930368, 279276490330112, 15393171177600, 279276221894656, 136340247154688, 261684035850240, 120947084365824, 279276758765568, 156130659532928, 136339450232960, 85761915355264, 65970706055296, 107803813347329, 178172456861697, 107803712684033, 178172440084481, 194639327920129, 248541184262145, 264999517814785, 37434953826305, 37434937049089, 107803832221697, 194630773637121, 136339450233088, 85761915355392, 225399892082944, 226499403710720, 65970706055424, 156130659533056, 264999486357505, 123162498957376, 52793742196800, 52793740099648}"
