Instance,N,K,Transitions,States,Time(ms),Failed,Features Vectors
TL,2,2,12,11,25.0,False,"{15736961, 29364226, 29364482, 32505988, 59248706, 59249154, 32515080, 32506000}"
TL,2,3,12,11,20.0,False,"{15736961, 29364226, 29364482, 32505988, 59248706, 59249154, 32515080, 32506000}"
TL,2,4,13,12,17.0,False,"{15736961, 29364226, 29364482, 32505988, 59249154, 29364738, 59248706, 32515080, 32506000}"
TL,2,5,12,11,22.0,False,"{15736961, 29364226, 29364482, 32505988, 59248706, 59249154, 32515080, 32506000}"
TL,2,6,12,11,15.0,False,"{15736961, 29364226, 29364482, 32505988, 59248706, 59249154, 32515080, 32506000}"
TL,2,7,12,11,17.0,False,"{15736961, 29364226, 29364482, 32505988, 59249154, 59248706, 32515080, 32506000}"
TL,2,8,12,11,15.0,False,"{15736961, 29364226, 29364482, 32505988, 59248706, 59249154, 32515080, 32506000}"
TL,2,9,12,11,18.0,False,"{15736961, 29364226, 29364482, 32505988, 59249154, 59248706, 32515080, 32506000}"
TL,2,10,12,11,13.0,False,"{15736961, 29364226, 29364482, 32505988, 59249154, 59248706, 32515080, 32506000}"
TL,2,11,12,11,17.0,False,"{15736961, 29364226, 29364482, 32505988, 59249154, 59248706, 32515080, 32506000}"
TL,2,12,12,11,17.0,False,"{15736961, 29364226, 29364482, 32505988, 59248706, 59249154, 32515080, 32506000}"
TL,2,13,12,11,15.0,False,"{15736961, 29364226, 29364482, 32505988, 59248706, 59249154, 32515080, 32506000}"
TL,2,14,12,11,17.0,False,"{15736961, 29364226, 29364482, 32505988, 59248706, 59249154, 32515080, 32506000}"
TL,2,15,12,11,17.0,False,"{15736961, 29364226, 29364482, 32505988, 59248706, 59249154, 32515080, 32506000}"
TL,3,2,27,23,36.0,False,"{15736961, 29364226, 12587010, 32505988, 29364482, 12587266, 59248706, 32515080, 29364738, 63181314, 12587522, 63180866, 32506000, 46403842, 25694722}"
TL,3,3,36,33,63.0,False,"{15736961, 29364226, 12587010, 32505988, 29364482, 12587266, 63181314, 32515080, 29364738, 63180866, 12587522, 20447364, 59248706, 32506000}"
TL,3,4,102,88,245.0,False,"{32514177, 29364226, 12587010, 32505988, 29364482, 12587266, 29364738, 54010888, 32515080, 15736961, 37232769, 54001796, 32506000, 15728784, 46403842, 46404098, 59249154, 63181314, 12587522, 25694722, 29364802, 12587586, 63180866, 29364290, 25694786, 59248706}"
TL,3,5,99,82,236.0,False,"{37232769, 29364226, 12587010, 32505988, 29364482, 12587266, 29364738, 32515080, 54001796, 63181314, 20447364, 36839553, 32506000, 63181058, 25694466, 42471938, 63443458, 12587522, 59249218, 42472002, 63181378}"
TL,3,6,372,295,2401.0,False,"{15736961, 29364226, 12587010, 32505988, 29364482, 12587266, 29364738, 32515080, 63181314, 12587522, 54001796, 3678337, 37232769, 36839553, 54010888, 32506000, 32514177, 63181058, 63443202, 58855682, 59248898, 20447364, 53608580, 59249154, 46666242, 63443458, 42471938, 42209794, 25301506, 58855938, 42078722, 63180866, 63443010, 29364290, 12587074, 58855490, 59248706, 42078274}"
TL,3,7,122,100,521.0,False,"{15736961, 29364226, 12587010, 32505988, 29364482, 12587266, 63181314, 32515080, 29364738, 3678337, 12587522, 37232769, 20447364, 32506000, 63181058, 59249154, 42471938, 25694722, 59248706, 42472002, 29364802, 63180866, 29364290, 42471490, 25694274}"
TL,3,8,1754,1272,14377.0,False,"{15736961, 29364226, 12587010, 32505988, 29364482, 12587266, 29364738, 32515080, 63181314, 12587522, 25432578, 53617672, 20447364, 37232769, 36839553, 32506000, 20063240, 3285121, 58855682, 63181058, 42471682, 25301250, 63443202, 15728784, 54001796, 20054148, 58855938, 42471938, 25694722, 63443458, 59249154, 25301506, 53608580, 42209794, 42078722, 58987010, 3678337, 32514177, 63180866, 42471490, 25694274, 29364290, 12587074, 25301058, 46403650, 59248706, 58855490, 54010888, 20456456, 63443010, 42078274, 42078786, 29364802, 12587586, 59249218, 25301570, 8917250, 59248898, 42078466}"
TL,3,9,176,148,607.0,False,"{15736961, 29364226, 12587010, 32505988, 29364482, 12587266, 29364738, 32515080, 12587522, 54001796, 42471938, 37232769, 20447364, 32506000, 63181058, 59249154, 63181314, 25432578, 58855938, 25694722, 63180866, 29364290, 63443010, 12587074, 42471490, 25694274}"
TL,3,10,76,67,180.0,False,"{3678337, 29364226, 12587010, 32505988, 29364482, 12587266, 29364738, 32515080, 63181314, 54001796, 15736961, 32506000, 46665986, 12587522, 42471938, 29364802, 12587586, 63443010, 63180866, 42471490}"
TL,3,11,335,265,1616.0,False,"{15736961, 29364226, 12587010, 32505988, 29364482, 12587266, 29364738, 32515080, 3678337, 20447364, 12587522, 53617672, 54001796, 32514177, 3285121, 32506000, 15728784, 37232769, 63181058, 58855682, 63443202, 8917250, 53608580, 42471938, 25432578, 63181314, 58855938, 59249154, 42078722, 36839553, 63180866, 29364290, 42471490, 25694274, 25301058, 29364802, 42472002, 20456456, 59248706, 12587074, 63443010}"
TL,3,12,21,19,25.0,False,"{32514177, 29364226, 12587010, 32505988, 29364482, 12587266, 63180866, 59248706, 32515080, 59249154, 15728784}"
TL,3,13,5001,3558,263298.0,True,"{15736961, 29364226, 12587010, 32505988, 29364482, 29364738, 12587266, 32515080, 54001796, 63181314, 54009985, 54010888, 32514177, 37232769, 3678337, 32506000, 15728784, 20062337, 63181058, 25694466, 59248898, 58855682, 42471682, 46665986, 20447364, 53608580, 59249154, 12587522, 63443458, 42471938, 25694722, 29889026, 46666242, 58855938, 46404098, 25432578, 36839553, 3285121, 25301506, 63180866, 29364290, 29364802, 59248706, 63443010, 42471490, 25694274, 12587074, 20456456, 46403650, 53617672, 46665794, 58855490, 20063240, 42078274, 58987010, 12587586, 63443522, 25694786, 58856002, 59249218, 42472002, 46404162, 63443202, 8917250, 25301250, 42078466, 46403842, 25432322, 42078722, 20054148}"
TL,3,14,5001,5001,9999,True,set()
TL,3,15,5001,5001,9999,True,set()
TL,4,2,35,29,47.0,False,"{15736961, 29364226, 29364482, 32505988, 63180866, 63181314, 29364738, 32515080, 59249154, 59248706, 32506000}"
