Instance,N,K,Transitions,Failed
AT,1,1,8,False
AT,1,2,8,False
AT,1,3,9,False
AT,1,4,8,False
AT,1,5,8,False
AT,1,6,8,False
AT,1,7,8,False
AT,1,8,8,False
AT,1,9,8,False
AT,1,10,8,False
AT,1,11,8,False
AT,1,12,8,False
AT,1,13,8,False
AT,1,14,8,False
AT,1,15,8,False
AT,2,1,17,False
AT,2,2,37,False
AT,2,3,37,False
AT,2,4,35,False
AT,2,5,35,False
AT,2,6,30,False
AT,2,7,35,False
AT,2,8,37,False
AT,2,9,36,False
AT,2,10,35,False
AT,2,11,39,False
AT,2,12,35,False
AT,2,13,43,False
AT,2,14,30,False
AT,2,15,41,False
AT,3,1,41,False
AT,3,2,173,False
AT,3,3,175,False
AT,3,4,169,False
AT,3,5,121,False
AT,3,6,163,False
AT,3,7,124,False
AT,3,8,131,False
AT,3,9,109,False
AT,3,10,116,False
AT,3,11,111,False
AT,3,12,114,False
AT,3,13,129,False
AT,3,14,187,False
AT,3,15,127,False
AT,4,1,99,False
AT,4,2,475,False
AT,4,3,1181,False
AT,4,4,857,False
AT,4,5,701,False
AT,4,6,542,False
AT,4,7,543,False
AT,4,8,465,False
AT,4,9,428,False
AT,4,10,390,False
AT,4,11,434,False
AT,4,12,400,False
AT,4,13,496,False
AT,4,14,446,False
AT,4,15,440,False
AT,5,1,237,False
AT,5,2,1658,False
AT,5,3,5000,False
AT,5,4,10000,True
AT,5,5,10000,True
AT,5,6,10000,True
AT,5,7,10000,True
AT,5,8,10000,True
AT,5,9,10000,True
AT,5,10,10000,True
AT,5,11,10000,True
AT,5,12,10000,True
AT,5,13,10000,True
AT,5,14,10000,True
AT,5,15,10000,True
AT,6,1,559,False
AT,6,2,5225,False
AT,6,3,10000,True
AT,6,4,10000,True
AT,6,5,10000,True
AT,6,6,10000,True
AT,6,7,10000,True
AT,6,8,10000,True
AT,6,9,10000,True
AT,6,10,10000,True
AT,6,11,10000,True
AT,6,12,10000,True
AT,6,13,10000,True
AT,6,14,10000,True
AT,6,15,10000,True
AT,7,1,1297,False
AT,7,2,10000,True
AT,7,3,10000,True
AT,7,4,10000,True
AT,7,5,10000,True
AT,7,6,10000,True
AT,7,7,10000,True
AT,7,8,10000,True
AT,7,9,10000,True
AT,7,10,10000,True
AT,7,11,10000,True
AT,7,12,10000,True
AT,7,13,10000,True
AT,7,14,10000,True
AT,7,15,10000,True
AT,8,1,2963,False
AT,8,2,10000,True
AT,8,3,10000,True
AT,8,4,10000,True
AT,8,5,10000,True
AT,8,6,10000,True
AT,8,7,10000,True
AT,8,8,10000,True
AT,8,9,10000,True
AT,8,10,10000,True
AT,8,11,10000,True
AT,8,12,10000,True
AT,8,13,10000,True
AT,8,14,10000,True
AT,8,15,10000,True
AT,9,1,6677,False
AT,9,2,10000,True
AT,9,3,10000,True
AT,9,4,10000,True
AT,9,5,10000,True
AT,9,6,10000,True
AT,9,7,10000,True
AT,9,8,10000,True
AT,9,9,10000,True
AT,9,10,10000,True
AT,9,11,10000,True
AT,9,12,10000,True
AT,9,13,10000,True
AT,9,14,10000,True
AT,9,15,10000,True
AT,10,1,10000,True
AT,10,2,10000,True
AT,10,3,10000,True
AT,10,4,10000,True
AT,10,5,10000,True
AT,10,6,10000,True
AT,10,7,10000,True
AT,10,8,10000,True
AT,10,9,10000,True
AT,10,10,10000,True
AT,10,11,10000,True
AT,10,12,10000,True
AT,10,13,10000,True
AT,10,14,10000,True
AT,10,15,10000,True
AT,11,1,10000,True
AT,11,2,10000,True
AT,11,3,10000,True
AT,11,4,10000,True
AT,11,5,10000,True
AT,11,6,10000,True
AT,11,7,10000,True
AT,11,8,10000,True
AT,11,9,10000,True
AT,11,10,10000,True
AT,11,11,10000,True
AT,11,12,10000,True
AT,11,13,10000,True
AT,11,14,10000,True
AT,11,15,10000,True
AT,12,1,10000,True
AT,12,2,10000,True
AT,12,3,10000,True
AT,12,4,10000,True
AT,12,5,10000,True
AT,12,6,10000,True
AT,12,7,10000,True
AT,12,8,10000,True
AT,12,9,10000,True
AT,12,10,10000,True
AT,12,11,10000,True
AT,12,12,10000,True
AT,12,13,10000,True
AT,12,14,10000,True
AT,12,15,10000,True
AT,13,1,10000,True
AT,13,2,10000,True
AT,13,3,10000,True
AT,13,4,10000,True
AT,13,5,10000,True
AT,13,6,10000,True
AT,13,7,10000,True
AT,13,8,10000,True
AT,13,9,10000,True
AT,13,10,10000,True
