Instance,N,K,Name,Transitions,States,Time(ms),Failed,Method
TA,2,2,./results/models/TA/2-2/TA-2-2-6700-partial.pth,75,61,380,False,2-2
TA,2,3,./results/models/TA/2-2/TA-2-2-6700-partial.pth,84,67,364,False,2-2
TA,2,4,./results/models/TA/2-2/TA-2-2-6700-partial.pth,111,82,717,False,2-2
TA,2,5,./results/models/TA/2-2/TA-2-2-6700-partial.pth,120,88,626,False,2-2
TA,2,6,./results/models/TA/2-2/TA-2-2-6700-partial.pth,129,94,664,False,2-2
TA,2,7,./results/models/TA/2-2/TA-2-2-6700-partial.pth,138,100,665,False,2-2
TA,2,8,./results/models/TA/2-2/TA-2-2-6700-partial.pth,147,106,766,False,2-2
TA,2,9,./results/models/TA/2-2/TA-2-2-6700-partial.pth,156,112,810,False,2-2
TA,2,10,./results/models/TA/2-2/TA-2-2-6700-partial.pth,165,118,942,False,2-2
TA,2,11,./results/models/TA/2-2/TA-2-2-6700-partial.pth,174,124,1201,False,2-2
TA,2,12,./results/models/TA/2-2/TA-2-2-6700-partial.pth,183,130,990,False,2-2
TA,2,13,./results/models/TA/2-2/TA-2-2-6700-partial.pth,192,136,1158,False,2-2
TA,2,14,./results/models/TA/2-2/TA-2-2-6700-partial.pth,201,142,1213,False,2-2
TA,2,15,./results/models/TA/2-2/TA-2-2-6700-partial.pth,210,148,1165,False,2-2
TA,3,2,./results/models/TA/2-2/TA-2-2-6700-partial.pth,270,196,5122,False,2-2
TA,3,3,./results/models/TA/2-2/TA-2-2-6700-partial.pth,287,208,4991,False,2-2
TA,3,4,./results/models/TA/2-2/TA-2-2-6700-partial.pth,384,262,8912,False,2-2
TA,3,5,./results/models/TA/2-2/TA-2-2-6700-partial.pth,404,276,9198,False,2-2
TA,3,6,./results/models/TA/2-2/TA-2-2-6700-partial.pth,410,281,9232,False,2-2
TA,3,7,./results/models/TA/2-2/TA-2-2-6700-partial.pth,443,301,9584,False,2-2
TA,3,8,./results/models/TA/2-2/TA-2-2-6700-partial.pth,464,315,10042,False,2-2
TA,3,9,./results/models/TA/2-2/TA-2-2-6700-partial.pth,486,330,12433,False,2-2
TA,3,10,./results/models/TA/2-2/TA-2-2-6700-partial.pth,507,344,11675,False,2-2
TA,3,11,./results/models/TA/2-2/TA-2-2-6700-partial.pth,526,357,10461,False,2-2
TA,3,12,./results/models/TA/2-2/TA-2-2-6700-partial.pth,550,374,11517,False,2-2
TA,3,13,./results/models/TA/2-2/TA-2-2-6700-partial.pth,483,340,7841,False,2-2
TA,3,14,./results/models/TA/2-2/TA-2-2-6700-partial.pth,590,400,12909,False,2-2
TA,3,15,./results/models/TA/2-2/TA-2-2-6700-partial.pth,611,414,12141,False,2-2
TA,4,2,./results/models/TA/2-2/TA-2-2-6700-partial.pth,892,596,64174,False,2-2
TA,4,3,./results/models/TA/2-2/TA-2-2-6700-partial.pth,981,650,75738,False,2-2
TA,4,4,./results/models/TA/2-2/TA-2-2-6700-partial.pth,1120,729,93097,False,2-2
TA,4,5,./results/models/TA/2-2/TA-2-2-6700-partial.pth,1013,682,64129,False,2-2
TA,4,6,./results/models/TA/2-2/TA-2-2-6700-partial.pth,1127,748,77538,False,2-2
TA,4,7,./results/models/TA/2-2/TA-2-2-6700-partial.pth,1228,805,90068,False,2-2
TA,4,8,./results/models/TA/2-2/TA-2-2-6700-partial.pth,1335,869,104995,False,2-2
TA,4,9,./results/models/TA/2-2/TA-2-2-6700-partial.pth,1489,950,135444,False,2-2
TA,4,10,./results/models/TA/2-2/TA-2-2-6700-partial.pth,1539,984,124700,False,2-2
TA,4,11,./results/models/TA/2-2/TA-2-2-6700-partial.pth,1590,1013,130144,False,2-2
