Instance,N,K,Name,Transitions,Time
AT,1,1,,8,12
AT,1,2,,10,2
AT,1,3,,11,2
AT,1,4,,12,2
AT,1,5,,16,2
AT,1,6,,17,2
AT,1,7,,19,2
AT,1,8,,22,2
AT,1,9,,23,2
AT,1,10,,25,2
AT,1,11,,24,2
AT,1,12,,23,2
AT,1,13,,31,3
AT,1,14,,34,2
AT,1,15,,22,3
AT,2,1,,28,3
AT,2,2,,53,3
AT,2,3,,83,6
AT,2,4,,117,7
AT,2,5,,143,9
AT,2,6,,162,10
AT,2,7,,234,18
AT,2,8,,174,9
AT,2,9,,421,59
AT,2,10,,480,65
AT,2,11,,597,87
AT,2,12,,598,38
AT,2,13,,647,59
AT,2,14,,866,68
AT,2,15,,921,254
AT,3,1,,20,2
AT,3,2,,220,9
AT,3,3,,421,40
AT,3,4,,876,303
AT,3,5,,1274,395
AT,3,6,,1717,546
AT,3,7,,3164,1798
AT,3,8,,4694,4668
AT,3,9,,6403,21320
AT,3,10,,8011,19932
AT,3,11,,10313,91390
AT,3,12,,13138,137836
AT,3,13,,15000,106977
AT,3,14,,15000,-1
AT,3,15,,15000,-1
AT,4,1,,41,2
AT,4,2,,594,15
AT,4,3,,2379,891
AT,4,4,,5454,13264
AT,4,5,,10551,51985
AT,4,6,,15000,39710
AT,4,7,,15000,-1
AT,4,8,,15000,-1
AT,4,9,,15000,-1
AT,4,10,,15000,-1
AT,4,11,,15000,-1
AT,4,12,,15000,-1
AT,4,13,,15000,-1
AT,4,14,,15000,-1
AT,4,15,,15000,-1
AT,5,1,,86,3
AT,5,2,,1310,67
AT,5,3,,9631,9575
AT,5,4,,15000,4825
AT,5,5,,15000,-1
AT,5,6,,15000,-1
AT,5,7,,15000,-1
AT,5,8,,15000,-1
AT,5,9,,15000,-1
AT,5,10,,15000,-1
AT,5,11,,15000,-1
AT,5,12,,15000,-1
AT,5,13,,15000,-1
AT,5,14,,15000,-1
AT,5,15,,15000,-1
AT,6,1,,182,7
AT,6,2,,2544,230
AT,6,3,,15000,6054
AT,6,4,,15000,-1
AT,6,5,,15000,-1
AT,6,6,,15000,-1
AT,6,7,,15000,-1
AT,6,8,,15000,-1
AT,6,9,,15000,-1
AT,6,10,,15000,-1
AT,6,11,,15000,-1
AT,6,12,,15000,-1
AT,6,13,,15000,-1
AT,6,14,,15000,-1
AT,6,15,,15000,-1
AT,7,1,,223,9
AT,7,2,,5760,928
AT,7,3,,15000,6267
AT,7,4,,15000,-1
AT,7,5,,15000,-1
AT,7,6,,15000,-1
AT,7,7,,15000,-1
AT,7,8,,15000,-1
AT,7,9,,15000,-1
AT,7,10,,15000,-1
AT,7,11,,15000,-1
AT,7,12,,15000,-1
AT,7,13,,15000,-1
AT,7,14,,15000,-1
AT,7,15,,15000,-1
AT,8,1,,57,4
AT,8,2,,13472,6585
AT,8,3,,15000,10135
AT,8,4,,15000,-1
AT,8,5,,15000,-1
AT,8,6,,15000,-1
AT,8,7,,15000,-1
AT,8,8,,15000,-1
AT,8,9,,15000,-1
AT,8,10,,15000,-1
AT,8,11,,15000,-1
AT,8,12,,15000,-1
AT,8,13,,15000,-1
AT,8,14,,15000,-1
AT,8,15,,15000,-1
AT,9,1,,202,18
AT,9,2,,15000,10652
AT,9,3,,15000,-1
AT,9,4,,15000,-1
AT,9,5,,15000,-1
AT,9,6,,15000,-1
AT,9,7,,15000,-1
AT,9,8,,15000,-1
AT,9,9,,15000,-1
AT,9,10,,15000,-1
AT,9,11,,15000,-1
AT,9,12,,15000,-1
AT,9,13,,15000,-1
AT,9,14,,15000,-1
AT,9,15,,15000,-1
AT,10,1,,743,57
AT,10,2,,11872,6619
AT,10,3,,15000,14158
AT,10,4,,15000,-1
AT,10,5,,15000,-1
AT,10,6,,15000,-1
AT,10,7,,15000,-1
AT,10,8,,15000,-1
AT,10,9,,15000,-1
AT,10,10,,15000,-1
AT,10,11,,15000,-1
AT,10,12,,15000,-1
AT,10,13,,15000,-1
AT,10,14,,15000,-1
AT,10,15,,15000,-1
AT,11,1,,164,12
AT,11,2,,15000,14614
