Instance,N,K,Transitions (min),States (min),Time(min),Transitions (max),States (max),Time(max),Transitions (mean),States (mean),Time(mean),Failed
AT,2,2,36,28,5.0,51,51,178.0,45.39,31.58,10.91,0
AT,2,3,41,41,5.0,84,84,379.0,67.78,43.95,14.03,0
AT,2,4,64,60,6.0,120,120,81.0,96.83,59.8,13.55,0
AT,2,5,70,67,6.0,166,166,64.0,131.89,77.13,14.59,0
AT,2,6,105,102,10.0,222,222,77.0,175.5,96.75,19.0,0
AT,2,7,134,119,14.0,282,282,88.0,215.96,117.49,26.37,0
AT,2,8,112,112,15.0,350,350,103.0,267.57,140.21,29.81,0
AT,2,9,203,169,22.0,437,437,102.0,325.57,166.53,35.45,0
AT,2,10,203,164,22.0,524,524,112.0,386.65,191.71,42.41,0
AT,2,11,227,227,23.0,613,613,127.0,476.04,226.26,52.32,0
AT,2,12,215,215,21.0,720,720,131.0,516.31,251.45,57.48,0
AT,2,13,359,276,39.0,817,817,149.0,613.28,287.45,71.43,0
AT,2,14,346,333,41.0,943,943,155.0,692.49,321.76,80.03,0
AT,2,15,355,355,45.0,1057,1057,226.0,775.57,358.12,96.14,0
AT,3,2,72,72,7.0,235,235,79.0,201.95,140.88,21.44,0
AT,3,3,339,276,36.0,489,489,107.0,426.61,269.39,49.34,0
AT,3,4,559,438,58.0,838,838,231.0,710.61,429.74,85.71,0
AT,3,5,797,683,91.0,1458,1458,273.0,1122.49,642.95,142.11,0
AT,3,6,1172,954,140.0,2003,2003,415.0,1633.39,906.91,221.39,0
AT,3,7,1598,1118,196.0,3020,3020,516.0,2287.25,1232.3,318.8,0
AT,3,8,1987,1703,283.0,4114,4114,728.0,3151.77,1633.7,463.51,0
AT,3,9,2438,2200,404.0,5001,5001,988.0,4185.36,2112.79,709.05,12
AT,3,10,3735,2564,545.0,5001,5001,1121.0,4894.73,2538.75,868.89,81
AT,3,11,4518,2802,820.0,5001,5001,1389.0,4991.77,2786.13,1032.75,96
AT,3,12,5001,3014,897.0,5001,5001,1540.0,5001.0,2994.86,1145.1,100
AT,3,13,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,3,14,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,3,15,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,4,2,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,4,3,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,4,4,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,4,5,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,4,6,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,4,7,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,4,8,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,4,9,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,4,10,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,4,11,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,4,12,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,4,13,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,4,14,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,4,15,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,5,2,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,5,3,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,5,4,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,5,5,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,5,6,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,5,7,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,5,8,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,5,9,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,5,10,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,5,11,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,5,12,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,5,13,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,5,14,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,5,15,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,6,2,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,6,3,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,6,4,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,6,5,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,6,6,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,6,7,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,6,8,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,6,9,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,6,10,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,6,11,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,6,12,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,6,13,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,6,14,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,6,15,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,7,2,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,7,3,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,7,4,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,7,5,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,7,6,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,7,7,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,7,8,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,7,9,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,7,10,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,7,11,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,7,12,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,7,13,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,7,14,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,7,15,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,8,2,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,8,3,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,8,4,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,8,5,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,8,6,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,8,7,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,8,8,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,8,9,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,8,10,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,8,11,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,8,12,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,8,13,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,8,14,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,8,15,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,9,2,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,9,3,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,9,4,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,9,5,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,9,6,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,9,7,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,9,8,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,9,9,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,9,10,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,9,11,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,9,12,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,9,13,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,9,14,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,9,15,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,10,2,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,10,3,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,10,4,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,10,5,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,10,6,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,10,7,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,10,8,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,10,9,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,10,10,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,10,11,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,10,12,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,10,13,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,10,14,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,10,15,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,11,2,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,11,3,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,11,4,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,11,5,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,11,6,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
AT,11,7,9999999,9999999,9999999,-1,-1,-1,0.0,0.0,0.0,100
