Instance,Model,Solved
AT,./results/models/AT/2-2/AT-2-2-3270-partial.pth,39
AT,./results/models/AT/2-2/AT-2-2-7440-partial.pth,45
AT,./results/models/AT/2-2/AT-2-2-7360-partial.pth,44
AT,./results/models/AT/2-2/AT-2-2-10575-partial.pth,40
AT,./results/models/AT/2-2/AT-2-2-1780-partial.pth,37
AT,./results/models/AT/2-2/AT-2-2-2885-partial.pth,40
AT,./results/models/AT/2-2/AT-2-2-1055-partial.pth,39
AT,./results/models/AT/2-2/AT-2-2-7965-partial.pth,38
AT,./results/models/AT/2-2/AT-2-2-2925-partial.pth,40
AT,./results/models/AT/2-2/AT-2-2-8885-partial.pth,39
AT,./results/models/AT/2-2/AT-2-2-3150-partial.pth,40
AT,./results/models/AT/2-2/AT-2-2-1530-partial.pth,40
AT,./results/models/AT/2-2/AT-2-2-955-partial.pth,40
AT,./results/models/AT/2-2/AT-2-2-6085-partial.pth,38
AT,./results/models/AT/2-2/AT-2-2-5300-partial.pth,37
AT,./results/models/AT/2-2/AT-2-2-9130-partial.pth,38
AT,./results/models/AT/2-2/AT-2-2-10990-partial.pth,37
AT,./results/models/AT/2-2/AT-2-2-9200-partial.pth,42
AT,./results/models/AT/2-2/AT-2-2-6005-partial.pth,37
AT,./results/models/AT/2-2/AT-2-2-9515-partial.pth,38
AT,./results/models/AT/2-2/AT-2-2-1465-partial.pth,40
AT,./results/models/AT/2-2/AT-2-2-5555-partial.pth,37
AT,./results/models/AT/2-2/AT-2-2-1805-partial.pth,38
AT,./results/models/AT/2-2/AT-2-2-7190-partial.pth,41
AT,./results/models/AT/2-2/AT-2-2-7630-partial.pth,37
AT,./results/models/AT/2-2/AT-2-2-6815-partial.pth,37
AT,./results/models/AT/2-2/AT-2-2-5005-partial.pth,39
AT,./results/models/AT/2-2/AT-2-2-3730-partial.pth,39
AT,./results/models/AT/2-2/AT-2-2-4565-partial.pth,38
AT,./results/models/AT/2-2/AT-2-2-315-partial.pth,40
AT,./results/models/AT/2-2/AT-2-2-2425-partial.pth,39
AT,./results/models/AT/2-2/AT-2-2-6200-partial.pth,41
AT,./results/models/AT/2-2/AT-2-2-6230-partial.pth,41
AT,./results/models/AT/2-2/AT-2-2-6415-partial.pth,38
