Instance,Model,Solved
BW,./results/models/BW/2-2/BW-2-2-3580-partial.pth,24
BW,./results/models/BW/2-2/BW-2-2-10-partial.pth,27
BW,./results/models/BW/2-2/BW-2-2-210-partial.pth,27
BW,./results/models/BW/2-2/BW-2-2-275-partial.pth,27
BW,./results/models/BW/2-2/BW-2-2-160-partial.pth,27
BW,./results/models/BW/2-2/BW-2-2-15-partial.pth,27
BW,./results/models/BW/2-2/BW-2-2-3950-partial.pth,27
BW,./results/models/BW/2-2/BW-2-2-2975-partial.pth,27
BW,./results/models/BW/2-2/BW-2-2-2980-partial.pth,27
BW,./results/models/BW/2-2/BW-2-2-30-partial.pth,27
BW,./results/models/BW/2-2/BW-2-2-90-partial.pth,27
BW,./results/models/BW/2-2/BW-2-2-240-partial.pth,27
BW,./results/models/BW/2-2/BW-2-2-120-partial.pth,27
BW,./results/models/BW/2-2/BW-2-2-185-partial.pth,27
BW,./results/models/BW/2-2/BW-2-2-230-partial.pth,27
BW,./results/models/BW/2-2/BW-2-2-75-partial.pth,27
BW,./results/models/BW/2-2/BW-2-2-2940-partial.pth,27
BW,./results/models/BW/2-2/BW-2-2-95-partial.pth,27
BW,./results/models/BW/2-2/BW-2-2-770-partial.pth,27
BW,./results/models/BW/2-2/BW-2-2-50-partial.pth,27
BW,./results/models/BW/2-2/BW-2-2-250-partial.pth,27
BW,./results/models/BW/2-2/BW-2-2-195-partial.pth,27
BW,./results/models/BW/2-2/BW-2-2-225-partial.pth,27
BW,./results/models/BW/2-2/BW-2-2-2970-partial.pth,27
BW,./results/models/BW/2-2/BW-2-2-140-partial.pth,27
BW,./results/models/BW/2-2/BW-2-2-40-partial.pth,27
BW,./results/models/BW/2-2/BW-2-2-4475-partial.pth,28
BW,./results/models/BW/2-2/BW-2-2-3570-partial.pth,28
BW,./results/models/BW/2-2/BW-2-2-4465-partial.pth,28
BW,./results/models/BW/2-2/BW-2-2-955-partial.pth,28
BW,./results/models/BW/2-2/BW-2-2-2260-partial.pth,28
BW,./results/models/BW/2-2/BW-2-2-150-partial.pth,28
BW,./results/models/BW/2-2/BW-2-2-4820-partial.pth,28
BW,./results/models/BW/2-2/BW-2-2-1405-partial.pth,28
BW,./results/models/BW/2-2/BW-2-2-4305-partial.pth,28
BW,./results/models/BW/2-2/BW-2-2-1415-partial.pth,28
BW,./results/models/BW/2-2/BW-2-2-855-partial.pth,28
BW,./results/models/BW/2-2/BW-2-2-4315-partial.pth,28
BW,./results/models/BW/2-2/BW-2-2-850-partial.pth,28
BW,./results/models/BW/2-2/BW-2-2-830-partial.pth,28
BW,./results/models/BW/2-2/BW-2-2-4045-partial.pth,28
BW,./results/models/BW/2-2/BW-2-2-640-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-4360-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-5145-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-3550-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-3535-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-1095-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-2345-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-1175-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-3590-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-4480-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-1295-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-3300-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-3000-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-4345-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-1615-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-1120-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-1025-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-1195-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-3540-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-1310-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-2340-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-1700-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-1380-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-2950-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-1320-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-3875-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-1660-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-3635-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-1265-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-1860-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-2310-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-1205-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-1360-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-3125-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-3305-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-1695-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-3145-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-4340-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-1650-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-3640-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-3830-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-925-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-1675-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-2985-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-1305-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-2615-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-865-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-4105-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-1835-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-1340-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-3970-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-4070-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-3895-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-2860-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-5190-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-1735-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-1335-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-595-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-3325-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-480-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-5180-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-2305-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-3335-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-2100-partial.pth,29
BW,./results/models/BW/2-2/BW-2-2-3585-partial.pth,29
