Instance,Model,Solved
TA,./results/models/TA/2-2/TA-2-2-875-partial.pth,16
TA,./results/models/TA/2-2/TA-2-2-460-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-325-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-870-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-880-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-585-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-260-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-485-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-355-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-240-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-565-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-200-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-560-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-490-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-225-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-480-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-315-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-405-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-475-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-520-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-270-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-610-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-230-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-285-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-545-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-215-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-555-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-190-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-235-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-435-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-210-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-455-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-360-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-500-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-335-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-615-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-305-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-280-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-400-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-310-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-515-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-525-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-580-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-835-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-865-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-420-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-195-partial.pth,33
TA,./results/models/TA/2-2/TA-2-2-600-partial.pth,33
