Instance,Model,Solved
AT,./results/models/AT/Adam-ERL/AT-2-2-11240-partial.pth,37
AT,./results/models/AT/Adam-ERL/AT-2-2-9775-partial.pth,37
AT,./results/models/AT/Adam-ERL/AT-2-2-6805-partial.pth,37
AT,./results/models/AT/Adam-ERL/AT-2-2-8045-partial.pth,37
AT,./results/models/AT/Adam-ERL/AT-2-2-11250-partial.pth,37
AT,./results/models/AT/Adam-ERL/AT-2-2-9695-partial.pth,38
AT,./results/models/AT/Adam-ERL/AT-2-2-7360-partial.pth,38
AT,./results/models/AT/Adam-ERL/AT-2-2-2680-partial.pth,39
AT,./results/models/AT/Adam-ERL/AT-2-2-1475-partial.pth,39
AT,./results/models/AT/Adam-ERL/AT-2-2-4585-partial.pth,39
AT,./results/models/AT/Adam-ERL/AT-2-2-10110-partial.pth,39
AT,./results/models/AT/Adam-ERL/AT-2-2-2505-partial.pth,39
AT,./results/models/AT/Adam-ERL/AT-2-2-860-partial.pth,39
AT,./results/models/AT/Adam-ERL/AT-2-2-3240-partial.pth,39
AT,./results/models/AT/Adam-ERL/AT-2-2-2725-partial.pth,39
AT,./results/models/AT/Adam-ERL/AT-2-2-2755-partial.pth,39
AT,./results/models/AT/Adam-ERL/AT-2-2-6200-partial.pth,39
AT,./results/models/AT/Adam-ERL/AT-2-2-10320-partial.pth,39
AT,./results/models/AT/Adam-ERL/AT-2-2-1160-partial.pth,39
AT,./results/models/AT/Adam-ERL/AT-2-2-580-partial.pth,39
AT,./results/models/AT/Adam-ERL/AT-2-2-5700-partial.pth,39
AT,./results/models/AT/Adam-ERL/AT-2-2-8595-partial.pth,39
AT,./results/models/AT/Adam-ERL/AT-2-2-4465-partial.pth,39
AT,./results/models/AT/Adam-ERL/AT-2-2-1340-partial.pth,39
AT,./results/models/AT/Adam-ERL/AT-2-2-820-partial.pth,39
AT,./results/models/AT/Adam-ERL/AT-2-2-6215-partial.pth,39
AT,./results/models/AT/Adam-ERL/AT-2-2-10015-partial.pth,39
AT,./results/models/AT/Adam-ERL/AT-2-2-10515-partial.pth,39
AT,./results/models/AT/Adam-ERL/AT-2-2-2735-partial.pth,39
AT,./results/models/AT/Adam-ERL/AT-2-2-6360-partial.pth,40
AT,./results/models/AT/Adam-ERL/AT-2-2-1910-partial.pth,40
AT,./results/models/AT/Adam-ERL/AT-2-2-9700-partial.pth,40
AT,./results/models/AT/Adam-ERL/AT-2-2-3425-partial.pth,40
AT,./results/models/AT/Adam-ERL/AT-2-2-7200-partial.pth,40
AT,./results/models/AT/Adam-ERL/AT-2-2-4725-partial.pth,40
AT,./results/models/AT/Adam-ERL/AT-2-2-2310-partial.pth,40
AT,./results/models/AT/Adam-ERL/AT-2-2-6640-partial.pth,40
AT,./results/models/AT/Adam-ERL/AT-2-2-4340-partial.pth,40
AT,./results/models/AT/Adam-ERL/AT-2-2-3300-partial.pth,40
AT,./results/models/AT/Adam-ERL/AT-2-2-7860-partial.pth,40
AT,./results/models/AT/Adam-ERL/AT-2-2-3650-partial.pth,40
AT,./results/models/AT/Adam-ERL/AT-2-2-2860-partial.pth,40
AT,./results/models/AT/Adam-ERL/AT-2-2-1730-partial.pth,40
AT,./results/models/AT/Adam-ERL/AT-2-2-2865-partial.pth,40
AT,./results/models/AT/Adam-ERL/AT-2-2-5290-partial.pth,40
AT,./results/models/AT/Adam-ERL/AT-2-2-2330-partial.pth,40
AT,./results/models/AT/Adam-ERL/AT-2-2-8670-partial.pth,40
AT,./results/models/AT/Adam-ERL/AT-2-2-5880-partial.pth,40
AT,./results/models/AT/Adam-ERL/AT-2-2-9935-partial.pth,40
AT,./results/models/AT/Adam-ERL/AT-2-2-8780-partial.pth,40
AT,./results/models/AT/Adam-ERL/AT-2-2-2790-partial.pth,40
AT,./results/models/AT/Adam-ERL/AT-2-2-5000-partial.pth,40
AT,./results/models/AT/Adam-ERL/AT-2-2-9200-partial.pth,40
AT,./results/models/AT/Adam-ERL/AT-2-2-2165-partial.pth,40
AT,./results/models/AT/Adam-ERL/AT-2-2-6385-partial.pth,40
AT,./results/models/AT/Adam-ERL/AT-2-2-5225-partial.pth,40
AT,./results/models/AT/Adam-ERL/AT-2-2-4325-partial.pth,41
AT,./results/models/AT/Adam-ERL/AT-2-2-2610-partial.pth,41
AT,./results/models/AT/Adam-ERL/AT-2-2-10745-partial.pth,41
AT,./results/models/AT/Adam-ERL/AT-2-2-10775-partial.pth,41
AT,./results/models/AT/Adam-ERL/AT-2-2-6745-partial.pth,43
