Instance,Model,Solved
BW,./results/models/BW/Adam-ERL/BW-2-2-3365-partial.pth,27
BW,./results/models/BW/Adam-ERL/BW-2-2-2440-partial.pth,27
BW,./results/models/BW/Adam-ERL/BW-2-2-1915-partial.pth,28
BW,./results/models/BW/Adam-ERL/BW-2-2-2640-partial.pth,28
BW,./results/models/BW/Adam-ERL/BW-2-2-1370-partial.pth,28
BW,./results/models/BW/Adam-ERL/BW-2-2-645-partial.pth,28
BW,./results/models/BW/Adam-ERL/BW-2-2-700-partial.pth,28
BW,./results/models/BW/Adam-ERL/BW-2-2-550-partial.pth,28
BW,./results/models/BW/Adam-ERL/BW-2-2-1645-partial.pth,28
BW,./results/models/BW/Adam-ERL/BW-2-2-580-partial.pth,28
BW,./results/models/BW/Adam-ERL/BW-2-2-2075-partial.pth,28
BW,./results/models/BW/Adam-ERL/BW-2-2-1505-partial.pth,28
BW,./results/models/BW/Adam-ERL/BW-2-2-2510-partial.pth,28
BW,./results/models/BW/Adam-ERL/BW-2-2-2375-partial.pth,28
BW,./results/models/BW/Adam-ERL/BW-2-2-2410-partial.pth,28
BW,./results/models/BW/Adam-ERL/BW-2-2-2120-partial.pth,28
BW,./results/models/BW/Adam-ERL/BW-2-2-5225-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-6635-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-620-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-5975-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-7390-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-7165-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-7115-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-6850-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-6040-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-3900-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-4270-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-3880-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-195-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-3445-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-4930-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-95-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-5235-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-3565-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-5925-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-905-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-6085-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-6610-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-4165-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-6020-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-3740-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-6575-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-3875-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-6895-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-4935-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-4105-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-7175-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-3240-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-7190-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-3550-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-695-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-6050-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-3845-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-6075-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-485-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-4830-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-380-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-2915-partial.pth,29
BW,./results/models/BW/Adam-ERL/BW-2-2-2980-partial.pth,30
BW,./results/models/BW/Adam-ERL/BW-2-2-1385-partial.pth,30
BW,./results/models/BW/Adam-ERL/BW-2-2-4235-partial.pth,30
BW,./results/models/BW/Adam-ERL/BW-2-2-4440-partial.pth,30
BW,./results/models/BW/Adam-ERL/BW-2-2-4760-partial.pth,30
BW,./results/models/BW/Adam-ERL/BW-2-2-5480-partial.pth,30
BW,./results/models/BW/Adam-ERL/BW-2-2-7095-partial.pth,30
BW,./results/models/BW/Adam-ERL/BW-2-2-1325-partial.pth,30
BW,./results/models/BW/Adam-ERL/BW-2-2-6970-partial.pth,30
BW,./results/models/BW/Adam-ERL/BW-2-2-940-partial.pth,30
