Instance,Model,Solved
DP,./results/models/DP/Adam-ERL/DP-2-2-1380-partial.pth,38
DP,./results/models/DP/Adam-ERL/DP-2-2-1325-partial.pth,38
DP,./results/models/DP/Adam-ERL/DP-2-2-2235-partial.pth,38
DP,./results/models/DP/Adam-ERL/DP-2-2-1860-partial.pth,38
DP,./results/models/DP/Adam-ERL/DP-2-2-2010-partial.pth,38
DP,./results/models/DP/Adam-ERL/DP-2-2-1030-partial.pth,38
DP,./results/models/DP/Adam-ERL/DP-2-2-2530-partial.pth,38
DP,./results/models/DP/Adam-ERL/DP-2-2-30-partial.pth,38
DP,./results/models/DP/Adam-ERL/DP-2-2-1140-partial.pth,38
DP,./results/models/DP/Adam-ERL/DP-2-2-2820-partial.pth,38
DP,./results/models/DP/Adam-ERL/DP-2-2-110-partial.pth,38
DP,./results/models/DP/Adam-ERL/DP-2-2-1650-partial.pth,38
DP,./results/models/DP/Adam-ERL/DP-2-2-2185-partial.pth,38
DP,./results/models/DP/Adam-ERL/DP-2-2-2205-partial.pth,38
DP,./results/models/DP/Adam-ERL/DP-2-2-1910-partial.pth,38
DP,./results/models/DP/Adam-ERL/DP-2-2-1335-partial.pth,38
DP,./results/models/DP/Adam-ERL/DP-2-2-1885-partial.pth,38
DP,./results/models/DP/Adam-ERL/DP-2-2-1070-partial.pth,38
DP,./results/models/DP/Adam-ERL/DP-2-2-1730-partial.pth,38
DP,./results/models/DP/Adam-ERL/DP-2-2-1010-partial.pth,38
DP,./results/models/DP/Adam-ERL/DP-2-2-2590-partial.pth,38
DP,./results/models/DP/Adam-ERL/DP-2-2-1990-partial.pth,38
DP,./results/models/DP/Adam-ERL/DP-2-2-150-partial.pth,38
DP,./results/models/DP/Adam-ERL/DP-2-2-2145-partial.pth,38
DP,./results/models/DP/Adam-ERL/DP-2-2-1190-partial.pth,38
DP,./results/models/DP/Adam-ERL/DP-2-2-1175-partial.pth,38
DP,./results/models/DP/Adam-ERL/DP-2-2-3040-partial.pth,38
DP,./results/models/DP/Adam-ERL/DP-2-2-130-partial.pth,38
DP,./results/models/DP/Adam-ERL/DP-2-2-1655-partial.pth,38
DP,./results/models/DP/Adam-ERL/DP-2-2-190-partial.pth,38
