Instance,Model,Solved
AT,./results/models/AT/ERL/AT-2-2-7360-partial.pth,37
AT,./results/models/AT/ERL/AT-2-2-5155-partial.pth,37
AT,./results/models/AT/ERL/AT-2-2-15-partial.pth,37
AT,./results/models/AT/ERL/AT-2-2-5305-partial.pth,37
AT,./results/models/AT/ERL/AT-2-2-9200-partial.pth,37
AT,./results/models/AT/ERL/AT-2-2-5255-partial.pth,37
AT,./results/models/AT/ERL/AT-2-2-6665-partial.pth,37
AT,./results/models/AT/ERL/AT-2-2-3080-partial.pth,38
AT,./results/models/AT/ERL/AT-2-2-4175-partial.pth,39
AT,./results/models/AT/ERL/AT-2-2-1210-partial.pth,39
AT,./results/models/AT/ERL/AT-2-2-7065-partial.pth,39
AT,./results/models/AT/ERL/AT-2-2-10575-partial.pth,39
AT,./results/models/AT/ERL/AT-2-2-2005-partial.pth,39
AT,./results/models/AT/ERL/AT-2-2-2270-partial.pth,39
AT,./results/models/AT/ERL/AT-2-2-7530-partial.pth,39
AT,./results/models/AT/ERL/AT-2-2-1940-partial.pth,39
AT,./results/models/AT/ERL/AT-2-2-730-partial.pth,40
AT,./results/models/AT/ERL/AT-2-2-1860-partial.pth,40
AT,./results/models/AT/ERL/AT-2-2-2345-partial.pth,40
AT,./results/models/AT/ERL/AT-2-2-520-partial.pth,40
AT,./results/models/AT/ERL/AT-2-2-1010-partial.pth,40
AT,./results/models/AT/ERL/AT-2-2-1680-partial.pth,40
AT,./results/models/AT/ERL/AT-2-2-110-partial.pth,40
AT,./results/models/AT/ERL/AT-2-2-6580-partial.pth,41
AT,./results/models/AT/ERL/AT-2-2-4465-partial.pth,43
AT,./results/models/AT/ERL/AT-2-2-8165-partial.pth,44
AT,./results/models/AT/ERL/AT-2-2-4625-partial.pth,45
AT,./results/models/AT/ERL/AT-2-2-10930-partial.pth,59
AT,./results/models/AT/ERL/AT-2-2-10990-partial.pth,61
AT,./results/models/AT/ERL/AT-2-2-11425-partial.pth,61
AT,./results/models/AT/ERL/AT-2-2-7630-partial.pth,67
