Instance,Model,Solved
BW,./results/models/BW/ERL/BW-2-2-40-partial.pth,28
BW,./results/models/BW/ERL/BW-2-2-85-partial.pth,28
BW,./results/models/BW/ERL/BW-2-2-3115-partial.pth,29
BW,./results/models/BW/ERL/BW-2-2-1435-partial.pth,29
BW,./results/models/BW/ERL/BW-2-2-3925-partial.pth,29
BW,./results/models/BW/ERL/BW-2-2-2755-partial.pth,29
BW,./results/models/BW/ERL/BW-2-2-3140-partial.pth,29
BW,./results/models/BW/ERL/BW-2-2-1165-partial.pth,29
BW,./results/models/BW/ERL/BW-2-2-4935-partial.pth,29
BW,./results/models/BW/ERL/BW-2-2-1600-partial.pth,29
BW,./results/models/BW/ERL/BW-2-2-2245-partial.pth,29
BW,./results/models/BW/ERL/BW-2-2-795-partial.pth,29
BW,./results/models/BW/ERL/BW-2-2-2175-partial.pth,29
BW,./results/models/BW/ERL/BW-2-2-130-partial.pth,29
BW,./results/models/BW/ERL/BW-2-2-3940-partial.pth,29
BW,./results/models/BW/ERL/BW-2-2-2595-partial.pth,29
BW,./results/models/BW/ERL/BW-2-2-3105-partial.pth,29
BW,./results/models/BW/ERL/BW-2-2-2785-partial.pth,29
BW,./results/models/BW/ERL/BW-2-2-2560-partial.pth,29
BW,./results/models/BW/ERL/BW-2-2-2815-partial.pth,29
BW,./results/models/BW/ERL/BW-2-2-6345-partial.pth,30
BW,./results/models/BW/ERL/BW-2-2-7555-partial.pth,30
BW,./results/models/BW/ERL/BW-2-2-600-partial.pth,30
BW,./results/models/BW/ERL/BW-2-2-7115-partial.pth,30
BW,./results/models/BW/ERL/BW-2-2-4595-partial.pth,30
BW,./results/models/BW/ERL/BW-2-2-6320-partial.pth,30
BW,./results/models/BW/ERL/BW-2-2-2135-partial.pth,30
BW,./results/models/BW/ERL/BW-2-2-3475-partial.pth,30
BW,./results/models/BW/ERL/BW-2-2-7385-partial.pth,30
BW,./results/models/BW/ERL/BW-2-2-1990-partial.pth,30
BW,./results/models/BW/ERL/BW-2-2-7095-partial.pth,30
BW,./results/models/BW/ERL/BW-2-2-3995-partial.pth,30
BW,./results/models/BW/ERL/BW-2-2-4260-partial.pth,30
BW,./results/models/BW/ERL/BW-2-2-5670-partial.pth,30
BW,./results/models/BW/ERL/BW-2-2-7365-partial.pth,30
BW,./results/models/BW/ERL/BW-2-2-7910-partial.pth,30
BW,./results/models/BW/ERL/BW-2-2-5085-partial.pth,30
BW,./results/models/BW/ERL/BW-2-2-5865-partial.pth,30
BW,./results/models/BW/ERL/BW-2-2-7110-partial.pth,30
BW,./results/models/BW/ERL/BW-2-2-4520-partial.pth,30
BW,./results/models/BW/ERL/BW-2-2-3825-partial.pth,30
BW,./results/models/BW/ERL/BW-2-2-5055-partial.pth,30
BW,./results/models/BW/ERL/BW-2-2-7905-partial.pth,30
BW,./results/models/BW/ERL/BW-2-2-5145-partial.pth,30
BW,./results/models/BW/ERL/BW-2-2-4395-partial.pth,30
BW,./results/models/BW/ERL/BW-2-2-4385-partial.pth,30
BW,./results/models/BW/ERL/BW-2-2-2410-partial.pth,31
BW,./results/models/BW/ERL/BW-2-2-6670-partial.pth,31
BW,./results/models/BW/ERL/BW-2-2-350-partial.pth,31
BW,./results/models/BW/ERL/BW-2-2-330-partial.pth,31
BW,./results/models/BW/ERL/BW-2-2-7505-partial.pth,32
BW,./results/models/BW/ERL/BW-2-2-7290-partial.pth,32
BW,./results/models/BW/ERL/BW-2-2-775-partial.pth,36
BW,./results/models/BW/ERL/BW-2-2-770-partial.pth,36
BW,./results/models/BW/ERL/BW-2-2-6580-partial.pth,37
BW,./results/models/BW/ERL/BW-2-2-6950-partial.pth,38
BW,./results/models/BW/ERL/BW-2-2-8130-partial.pth,38
BW,./results/models/BW/ERL/BW-2-2-6425-partial.pth,38
BW,./results/models/BW/ERL/BW-2-2-8280-partial.pth,39
BW,./results/models/BW/ERL/BW-2-2-8300-partial.pth,39
BW,./results/models/BW/ERL/BW-2-2-585-partial.pth,39
BW,./results/models/BW/ERL/BW-2-2-8265-partial.pth,40
BW,./results/models/BW/ERL/BW-2-2-8205-partial.pth,40
BW,./results/models/BW/ERL/BW-2-2-7465-partial.pth,40
BW,./results/models/BW/ERL/BW-2-2-4695-partial.pth,41
BW,./results/models/BW/ERL/BW-2-2-8285-partial.pth,41
