Instance,Model,Solved
TA,./results/models/TA/ERL/TA-2-2-630-partial.pth,33
TA,./results/models/TA/ERL/TA-2-2-150-partial.pth,33
TA,./results/models/TA/ERL/TA-2-2-375-partial.pth,33
TA,./results/models/TA/ERL/TA-2-2-640-partial.pth,33
TA,./results/models/TA/ERL/TA-2-2-575-partial.pth,33
TA,./results/models/TA/ERL/TA-2-2-165-partial.pth,33
TA,./results/models/TA/ERL/TA-2-2-500-partial.pth,33
TA,./results/models/TA/ERL/TA-2-2-450-partial.pth,33
TA,./results/models/TA/ERL/TA-2-2-530-partial.pth,33
TA,./results/models/TA/ERL/TA-2-2-205-partial.pth,33
TA,./results/models/TA/ERL/TA-2-2-440-partial.pth,33
TA,./results/models/TA/ERL/TA-2-2-650-partial.pth,33
TA,./results/models/TA/ERL/TA-2-2-250-partial.pth,33
TA,./results/models/TA/ERL/TA-2-2-360-partial.pth,33
TA,./results/models/TA/ERL/TA-2-2-200-partial.pth,33
TA,./results/models/TA/ERL/TA-2-2-215-partial.pth,33
TA,./results/models/TA/ERL/TA-2-2-545-partial.pth,33
TA,./results/models/TA/ERL/TA-2-2-140-partial.pth,33
TA,./results/models/TA/ERL/TA-2-2-525-partial.pth,33
TA,./results/models/TA/ERL/TA-2-2-265-partial.pth,33
TA,./results/models/TA/ERL/TA-2-2-715-partial.pth,34
TA,./results/models/TA/ERL/TA-2-2-700-partial.pth,34
TA,./results/models/TA/ERL/TA-2-2-680-partial.pth,34
TA,./results/models/TA/ERL/TA-2-2-80-partial.pth,34
TA,./results/models/TA/ERL/TA-2-2-1305-partial.pth,35
TA,./results/models/TA/ERL/TA-2-2-875-partial.pth,35
TA,./results/models/TA/ERL/TA-2-2-50-partial.pth,35
TA,./results/models/TA/ERL/TA-2-2-1075-partial.pth,35
TA,./results/models/TA/ERL/TA-2-2-110-partial.pth,35
TA,./results/models/TA/ERL/TA-2-2-2870-partial.pth,37
TA,./results/models/TA/ERL/TA-2-2-1665-partial.pth,37
TA,./results/models/TA/ERL/TA-2-2-1565-partial.pth,37
TA,./results/models/TA/ERL/TA-2-2-965-partial.pth,37
TA,./results/models/TA/ERL/TA-2-2-3400-partial.pth,37
TA,./results/models/TA/ERL/TA-2-2-1590-partial.pth,37
TA,./results/models/TA/ERL/TA-2-2-3305-partial.pth,37
TA,./results/models/TA/ERL/TA-2-2-1675-partial.pth,37
TA,./results/models/TA/ERL/TA-2-2-950-partial.pth,37
TA,./results/models/TA/ERL/TA-2-2-1645-partial.pth,38
TA,./results/models/TA/ERL/TA-2-2-1375-partial.pth,38
TA,./results/models/TA/ERL/TA-2-2-1660-partial.pth,38
TA,./results/models/TA/ERL/TA-2-2-1615-partial.pth,38
TA,./results/models/TA/ERL/TA-2-2-2245-partial.pth,39
TA,./results/models/TA/ERL/TA-2-2-785-partial.pth,39
TA,./results/models/TA/ERL/TA-2-2-2110-partial.pth,40
TA,./results/models/TA/ERL/TA-2-2-3290-partial.pth,40
TA,./results/models/TA/ERL/TA-2-2-1610-partial.pth,40
TA,./results/models/TA/ERL/TA-2-2-2115-partial.pth,41
TA,./results/models/TA/ERL/TA-2-2-1285-partial.pth,41
TA,./results/models/TA/ERL/TA-2-2-2255-partial.pth,41
TA,./results/models/TA/ERL/TA-2-2-2705-partial.pth,42
TA,./results/models/TA/ERL/TA-2-2-3310-partial.pth,42
TA,./results/models/TA/ERL/TA-2-2-1865-partial.pth,43
TA,./results/models/TA/ERL/TA-2-2-3325-partial.pth,43
TA,./results/models/TA/ERL/TA-2-2-2890-partial.pth,43
TA,./results/models/TA/ERL/TA-2-2-830-partial.pth,43
TA,./results/models/TA/ERL/TA-2-2-3110-partial.pth,43
TA,./results/models/TA/ERL/TA-2-2-1015-partial.pth,43
TA,./results/models/TA/ERL/TA-2-2-1880-partial.pth,43
TA,./results/models/TA/ERL/TA-2-2-3140-partial.pth,44
TA,./results/models/TA/ERL/TA-2-2-2805-partial.pth,45
TA,./results/models/TA/ERL/TA-2-2-2605-partial.pth,45
TA,./results/models/TA/ERL/TA-2-2-1430-partial.pth,45
TA,./results/models/TA/ERL/TA-2-2-1450-partial.pth,45
TA,./results/models/TA/ERL/TA-2-2-1490-partial.pth,45
TA,./results/models/TA/ERL/TA-2-2-2065-partial.pth,45
TA,./results/models/TA/ERL/TA-2-2-1855-partial.pth,45
TA,./results/models/TA/ERL/TA-2-2-1485-partial.pth,45
TA,./results/models/TA/ERL/TA-2-2-3365-partial.pth,45
TA,./results/models/TA/ERL/TA-2-2-1525-partial.pth,45
TA,./results/models/TA/ERL/TA-2-2-1765-partial.pth,45
TA,./results/models/TA/ERL/TA-2-2-3010-partial.pth,45
TA,./results/models/TA/ERL/TA-2-2-3510-partial.pth,45
TA,./results/models/TA/ERL/TA-2-2-3255-partial.pth,45
TA,./results/models/TA/ERL/TA-2-2-3635-partial.pth,45
TA,./results/models/TA/ERL/TA-2-2-1515-partial.pth,45
