Instance,Model,Solved
AT,./results/models/AT/GRL/AT-2-2-10470-partial.pth,36
AT,./results/models/AT/GRL/AT-2-2-5790-partial.pth,36
AT,./results/models/AT/GRL/AT-2-2-8075-partial.pth,36
AT,./results/models/AT/GRL/AT-2-2-5380-partial.pth,36
AT,./results/models/AT/GRL/AT-2-2-5785-partial.pth,36
AT,./results/models/AT/GRL/AT-2-2-9385-partial.pth,36
AT,./results/models/AT/GRL/AT-2-2-8080-partial.pth,36
AT,./results/models/AT/GRL/AT-2-2-8145-partial.pth,36
AT,./results/models/AT/GRL/AT-2-2-8370-partial.pth,36
AT,./results/models/AT/GRL/AT-2-2-5780-partial.pth,36
AT,./results/models/AT/GRL/AT-2-2-10475-partial.pth,36
AT,./results/models/AT/GRL/AT-2-2-8305-partial.pth,36
AT,./results/models/AT/GRL/AT-2-2-8350-partial.pth,36
AT,./results/models/AT/GRL/AT-2-2-10455-partial.pth,36
AT,./results/models/AT/GRL/AT-2-2-8280-partial.pth,36
AT,./results/models/AT/GRL/AT-2-2-10430-partial.pth,36
AT,./results/models/AT/GRL/AT-2-2-5375-partial.pth,36
AT,./results/models/AT/GRL/AT-2-2-5280-partial.pth,36
AT,./results/models/AT/GRL/AT-2-2-8365-partial.pth,36
AT,./results/models/AT/GRL/AT-2-2-8030-partial.pth,36
AT,./results/models/AT/GRL/AT-2-2-5350-partial.pth,36
AT,./results/models/AT/GRL/AT-2-2-9380-partial.pth,36
AT,./results/models/AT/GRL/AT-2-2-9335-partial.pth,36
AT,./results/models/AT/GRL/AT-2-2-9295-partial.pth,36
AT,./results/models/AT/GRL/AT-2-2-8290-partial.pth,36
AT,./results/models/AT/GRL/AT-2-2-8300-partial.pth,36
AT,./results/models/AT/GRL/AT-2-2-5775-partial.pth,36
AT,./results/models/AT/GRL/AT-2-2-8140-partial.pth,36
AT,./results/models/AT/GRL/AT-2-2-9310-partial.pth,36
AT,./results/models/AT/GRL/AT-2-2-5285-partial.pth,36
AT,./results/models/AT/GRL/AT-2-2-4040-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-3930-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-6935-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-10205-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-4005-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-6860-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-10370-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-10235-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-10895-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-10290-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-10560-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-5405-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-9250-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-8645-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-11000-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-7985-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-5320-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-7910-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-5725-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-10660-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-4035-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-9565-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-8505-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-8635-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-10550-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-7010-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-11230-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-5415-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-7615-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-11270-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-9605-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-7945-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-11040-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-8610-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-9235-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-10590-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-10355-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-4430-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-11195-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-9195-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-11355-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-10955-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-4470-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-10530-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-11030-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-7660-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-9460-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-10360-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-10200-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-10230-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-4700-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-7640-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-5715-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-3965-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-9240-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-5795-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-11160-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-10335-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-6875-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-11340-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-10960-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-7630-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-4490-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-335-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-10620-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-8620-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-7920-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-5390-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-4450-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-8495-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-4435-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-9150-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-9270-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-8485-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-9560-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-3955-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-7965-partial.pth,37
AT,./results/models/AT/GRL/AT-2-2-8245-partial.pth,38
AT,./results/models/AT/GRL/AT-2-2-6100-partial.pth,38
AT,./results/models/AT/GRL/AT-2-2-145-partial.pth,38
AT,./results/models/AT/GRL/AT-2-2-7695-partial.pth,38
AT,./results/models/AT/GRL/AT-2-2-180-partial.pth,38
AT,./results/models/AT/GRL/AT-2-2-8250-partial.pth,38
AT,./results/models/AT/GRL/AT-2-2-6755-partial.pth,38
AT,./results/models/AT/GRL/AT-2-2-1635-partial.pth,38
AT,./results/models/AT/GRL/AT-2-2-5690-partial.pth,38
AT,./results/models/AT/GRL/AT-2-2-6960-partial.pth,38
AT,./results/models/AT/GRL/AT-2-2-175-partial.pth,38
AT,./results/models/AT/GRL/AT-2-2-8230-partial.pth,38
AT,./results/models/AT/GRL/AT-2-2-6095-partial.pth,38
AT,./results/models/AT/GRL/AT-2-2-95-partial.pth,38
AT,./results/models/AT/GRL/AT-2-2-765-partial.pth,39
AT,./results/models/AT/GRL/AT-2-2-3005-partial.pth,39
AT,./results/models/AT/GRL/AT-2-2-9490-partial.pth,39
AT,./results/models/AT/GRL/AT-2-2-5555-partial.pth,39
AT,./results/models/AT/GRL/AT-2-2-640-partial.pth,39
AT,./results/models/AT/GRL/AT-2-2-7110-partial.pth,39
AT,./results/models/AT/GRL/AT-2-2-600-partial.pth,39
AT,./results/models/AT/GRL/AT-2-2-5850-partial.pth,39
