Instance,Model,Solved
BW,./results/models/BW/GRL/BW-2-2-10-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-160-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-345-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-170-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-55-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-125-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-735-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-75-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-1105-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-930-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-15-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-790-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-70-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-140-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-5-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-725-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-150-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-730-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-360-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-135-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-600-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-90-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-590-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-980-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-985-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-640-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-85-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-750-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-350-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-955-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-605-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-110-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-705-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-155-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-35-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-925-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-800-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-105-partial.pth,27
BW,./results/models/BW/GRL/BW-2-2-810-partial.pth,27
