Instance,Model,Solved
DP,./results/models/DP/GRL/DP-2-2-6655-partial.pth,38
DP,./results/models/DP/GRL/DP-2-2-4420-partial.pth,38
DP,./results/models/DP/GRL/DP-2-2-1500-partial.pth,38
DP,./results/models/DP/GRL/DP-2-2-7005-partial.pth,38
DP,./results/models/DP/GRL/DP-2-2-3165-partial.pth,38
DP,./results/models/DP/GRL/DP-2-2-3175-partial.pth,38
DP,./results/models/DP/GRL/DP-2-2-2675-partial.pth,38
DP,./results/models/DP/GRL/DP-2-2-1470-partial.pth,38
DP,./results/models/DP/GRL/DP-2-2-8285-partial.pth,38
DP,./results/models/DP/GRL/DP-2-2-4835-partial.pth,38
DP,./results/models/DP/GRL/DP-2-2-3495-partial.pth,38
DP,./results/models/DP/GRL/DP-2-2-7010-partial.pth,38
DP,./results/models/DP/GRL/DP-2-2-5805-partial.pth,38
DP,./results/models/DP/GRL/DP-2-2-6590-partial.pth,38
DP,./results/models/DP/GRL/DP-2-2-4015-partial.pth,38
DP,./results/models/DP/GRL/DP-2-2-6615-partial.pth,38
DP,./results/models/DP/GRL/DP-2-2-8330-partial.pth,38
DP,./results/models/DP/GRL/DP-2-2-5770-partial.pth,38
DP,./results/models/DP/GRL/DP-2-2-1445-partial.pth,38
DP,./results/models/DP/GRL/DP-2-2-2595-partial.pth,38
DP,./results/models/DP/GRL/DP-2-2-3330-partial.pth,38
DP,./results/models/DP/GRL/DP-2-2-3490-partial.pth,38
DP,./results/models/DP/GRL/DP-2-2-3620-partial.pth,38
DP,./results/models/DP/GRL/DP-2-2-260-partial.pth,38
DP,./results/models/DP/GRL/DP-2-2-1465-partial.pth,38
DP,./results/models/DP/GRL/DP-2-2-1460-partial.pth,38
DP,./results/models/DP/GRL/DP-2-2-75-partial.pth,38
DP,./results/models/DP/GRL/DP-2-2-1555-partial.pth,38
DP,./results/models/DP/GRL/DP-2-2-3680-partial.pth,38
DP,./results/models/DP/GRL/DP-2-2-3340-partial.pth,38
DP,./results/models/DP/GRL/DP-2-2-3190-partial.pth,38
DP,./results/models/DP/GRL/DP-2-2-155-partial.pth,38
