Instance,Model,Solved
AT,./results/models/AT/LRL/AT-2-2-900-partial.pth,36
AT,./results/models/AT/LRL/AT-2-2-915-partial.pth,36
AT,./results/models/AT/LRL/AT-2-2-9885-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-9285-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-4370-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-4400-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-10525-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-11110-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-8470-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-5865-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-11430-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-8550-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-6785-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-11120-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-8420-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-11240-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-8755-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-4220-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-10565-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-7410-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-8690-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-10510-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-9270-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-4410-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-8280-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-5825-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-4365-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-8275-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-5880-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-6105-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-5805-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-3925-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-4395-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-8480-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-7580-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-9995-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-4295-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-9255-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-6605-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-11420-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-8455-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-8365-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-4345-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-5870-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-9555-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-4320-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-5890-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-8475-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-4250-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-11150-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-9920-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-4495-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-10020-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-9970-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-9940-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-11130-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-8245-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-4305-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-4280-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-4350-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-4360-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-10205-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-8430-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-4275-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-9280-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-10080-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-9535-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-8540-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-10090-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-8705-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-7435-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-9990-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-6780-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-10040-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-7430-partial.pth,37
AT,./results/models/AT/LRL/AT-2-2-6385-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-295-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-275-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-3955-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-190-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-8850-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-10530-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-8865-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-7330-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-7340-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-6380-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-7975-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-270-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-4230-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-4460-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-3855-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-11200-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-3880-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-4630-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-11290-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-4525-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-6330-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-7965-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-6640-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-7350-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-10675-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-280-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-9675-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-7880-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-4515-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-10665-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-210-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-6765-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-7920-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-285-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-11185-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-7370-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-3860-partial.pth,38
AT,./results/models/AT/LRL/AT-2-2-10655-partial.pth,38
